id,username,type,graduation_date,cgpa,entryyear,entrytype,left_date
1,20727595,2,13.06.2011,3.89,2007,1,NULL
2,20727562,2,13.06.2011,2.84,2007,1,NULL
3,20727524,2,13.06.2011,2.76,2007,1,NULL
4,20727505,2,13.06.2011,3.07,2007,1,NULL
5,20727428,2,13.06.2011,3.43,2007,1,NULL
6,20727447,2,13.06.2011,2.99,2007,1,NULL
7,20727706,2,17.08.2012,2.39,2007,1,NULL
8,20727414,2,23.07.2012,2.11,2007,1,NULL
9,20727499,2,17.08.2012,2.24,2007,1,NULL
10,20970854,2,04.06.2012,3.23,2009,6,NULL
11,20970821,2,04.06.2012,3.33,2009,21,NULL
12,20829564,2,04.06.2012,3.14,2008,1,NULL
13,20829435,2,04.06.2012,3.55,2008,1,NULL
14,20829454,2,04.06.2012,2.57,2008,1,NULL
15,20829306,2,04.06.2012,2.74,2008,1,NULL
16,20727672,2,04.06.2012,2.7,2007,1,NULL
17,20727691,2,04.06.2012,3.02,2007,1,NULL
18,20727601,2,04.06.2012,2.59,2007,1,NULL
19,20727648,2,04.06.2012,3.15,2007,1,NULL
20,20727576,2,04.06.2012,2.85,2007,1,NULL
21,20727538,2,04.06.2012,2.54,2007,1,NULL
22,20727543,2,04.06.2012,3.24,2007,1,NULL
23,20727519,2,04.06.2012,3.68,2007,1,NULL
24,20727452,2,04.06.2012,3.22,2007,1,NULL
25,20727471,2,04.06.2012,2.72,2007,1,NULL
26,20727433,2,04.06.2012,2.32,2007,1,NULL
27,21073451,2,08.07.2013,2.94,2010,22,NULL
28,21073479,2,24.06.2013,2.45,2010,22,NULL
29,20930011,2,24.06.2013,3.18,2009,1,NULL
30,20929946,2,24.06.2013,3.46,2009,1,NULL
31,20829669,2,24.06.2013,2.66,2008,1,NULL
32,20929893,2,24.06.2013,2.55,2009,1,NULL
33,20829655,2,24.06.2013,3.51,2008,1,NULL
34,20829641,2,24.06.2013,2.38,2008,1,NULL
35,20829636,2,24.06.2013,2.51,2008,1,NULL
36,20829622,2,24.06.2013,2.43,2008,1,NULL
37,20829597,2,24.06.2013,2.1,2008,1,NULL
38,20829603,2,24.06.2013,2.22,2008,1,NULL
39,20829583,2,24.06.2013,2.84,2008,1,NULL
40,20829559,2,24.06.2013,3.04,2008,1,NULL
41,20829578,2,24.06.2013,3.32,2008,1,NULL
42,20829531,2,24.06.2013,3.28,2008,1,NULL
43,20829512,2,24.06.2013,3.1,2008,1,NULL
44,20829526,2,24.06.2013,2.86,2008,1,NULL
45,20829492,2,24.06.2013,2.4,2008,1,NULL
46,20829507,2,24.06.2013,2.26,2008,1,NULL
47,20829487,2,24.06.2013,3,2008,1,NULL
48,20829473,2,24.06.2013,3.46,2008,1,NULL
49,20829468,2,24.06.2013,2.99,2008,1,NULL
