id,userid,clubid,type
1,21030737,1,Chairperson
11,N16123506,3,"Board Member"
12,N16123506,1,"Regular Member"
13,N16123506,52,"Regular Member"
14,21232374,2,"Regular Member"
16,21332076,2,"Regular Member"
17,21332076,2,"Board Member"
18,21332076,2,Chairperson
19,21332076,35,Chairperson
20,21332076,1,"Regular Member"
21,20901248,3,"Board Member"
22,21731741,1,"Board Member"
23,21731741,65,"Regular Member"
24,21731884,35,"Regular Member"
25,21731884,65,"Regular Member"
26,21531479,2,Chairperson
28,20727653,30,"Regular Member"
32,20727653,65,"Regular Member"
33,21332302,1,"Regular Member"
34,21332302,65,"Regular Member"
35,21332302,124,"Regular Member"
41,21332412,1,"Regular Member"
42,21332412,2,"Regular Member"
43,21332412,65,"Board Member"
45,20929951,7,"Regular Member"
46,20929951,34,"Regular Member"
47,20929951,125,Chairperson
51,20727653,1,Chairperson
53,20727653,71,"Regular Member"
63,21332373,1,"Regular Member"
65,21332373,65,Chairperson
66,21332373,2,"Regular Member"
69,21531432,60,"Board Member"
71,20929817,2,Chairperson
73,20929817,1,"Regular Member"
75,21332005,1,"Board Member"
76,21332005,65,"Regular Member"
77,21332005,55,"Regular Member"
78,21332005,109,"Regular Member"
79,21131029,2,"Regular Member"
80,21131235,2,"Regular Member"
81,21431337,141,"Board Member"
82,21431337,149,"Regular Member"
83,21431337,2,"Regular Member"
84,21232589,1,"Regular Member"
85,21232589,34,Chairperson
87,21731678,30,"Regular Member"
89,21732034,1,Chairperson
91,21732034,90,"Regular Member"
92,21732034,58,"Regular Member"
93,21631593,65,"Regular Member"
96,21383565,9,"Board Member"
97,21383565,55,"Regular Member"
98,21383565,97,"Regular Member"
99,21383565,98,"Regular Member"
100,21383565,69,"Regular Member"
110,21732034,44,"Regular Member"
111,21831611,1,"Regular Member"
112,21831611,2,"Regular Member"
115,21732029,1,"Board Member"
116,21732029,65,"Regular Member"
117,21731793,1,"Regular Member"
118,21731793,2,"Board Member"
119,21831165,1,"Regular Member"
121,21831165,3,"Regular Member"
123,21831165,65,"Regular Member"
125,21731793,73,"Regular Member"
131,21731755,2,"Board Member"
132,21332478,2,"Regular Member"
133,21332167,2,"Board Member"
134,21332167,52,"Regular Member"
136,21531393,1,Chairperson
137,21431174,63,"Regular Member"
138,N18234101,65,"Regular Member"
140,21531187,65,"Regular Member"
141,21631761,65,"Board Member"
142,N18237474,1,"Regular Member"
143,21631387,65,Chairperson
144,21332316,2,Chairperson
145,21332282,1,"Board Member"
147,21131163,1,"Regular Member"
148,21131163,2,"Board Member"
149,21131163,2,"Board Member"
150,21131163,124,"Regular Member"
151,21332101,1,"Regular Member"
152,21332101,2,"Regular Member"
153,21430967,65,Chairperson
154,21430967,3,"Regular Member"
155,21430967,8,"Regular Member"
156,21430967,17,"Regular Member"
157,21732158,2,"Board Member"
159,21430991,1,"Regular Member"
160,21607921,120,"Regular Member"
161,21607921,63,"Regular Member"
164,21232413,2,Chairperson
165,21732086,2,"Board Member"
166,21332115,2,"Regular Member"
167,21332115,65,"Regular Member"
168,21731937,2,"Regular Member"
169,21731937,81,"Regular Member"
174,21531121,2,"Regular Member"
175,21580869,125,"Regular Member"
179,21431394,2,"Board Member"
180,21531044,1,"Regular Member"
181,21531044,1,Chairperson
182,21531044,55,"Regular Member"
183,21531044,2,"Regular Member"
184,21531044,29,"Regular Member"
185,20829358,1,"Regular Member"
186,21331998,2,Chairperson
187,21732111,1,"Board Member"
188,21831113,1,"Regular Member"
189,21431026,30,"Regular Member"
193,21631794,1,"Board Member"
194,21731612,2,"Board Member"
195,21731612,1,"Regular Member"
196,21731918,1,"Regular Member"
199,21531077,146,"Board Member"
200,21831179,2,"Board Member"
201,21631445,2,"Regular Member"
202,21131221,98,"Board Member"
203,21731956,65,"Board Member"
204,21631478,1,Chairperson
205,21631478,52,"Board Member"
206,21731664,1,"Board Member"
207,21731664,2,"Regular Member"
208,20727648,1,Chairperson
209,20727648,1,"Board Member"
210,21631718,2,"Board Member"
211,21131015,2,"Regular Member"
212,21131015,1,"Regular Member"
220,21531336,1,"Regular Member"
221,21531336,2,"Regular Member"
223,21531336,3,"Regular Member"
224,21531336,8,"Regular Member"
225,21531336,52,"Regular Member"
226,21531336,63,"Regular Member"
227,21531336,141,"Regular Member"
228,21631497,2,"Regular Member"
229,21631459,2,"Board Member"
239,21831548,65,"Regular Member"
240,21831127,1,"Regular Member"
242,21831055,71,"Regular Member"
243,21831625,65,"Regular Member"
246,21831625,2,"Regular Member"
247,21631608,2,Chairperson
248,21430991,2,"Regular Member"
249,N19134433,108,"Regular Member"
250,21904401,1,"Regular Member"
251,21831198,1,"Regular Member"
252,21947894,2,"Regular Member"
253,21584833,114,"Board Member"
255,21831041,1,"Regular Member"
256,21831041,2,"Board Member"
257,21531283,2,"Regular Member"
259,21732053,1,"Regular Member"
260,21732053,65,"Regular Member"
261,21732053,31,"Board Member"
263,21948393,2,"Regular Member"
264,21948393,65,"Regular Member"
265,21948063,1,"Regular Member"
266,21948063,2,"Regular Member"
267,21831146,1,"Regular Member"
268,21831146,80,"Board Member"
269,21831146,65,"Regular Member"
270,21831146,2,"Regular Member"
272,21947889,2,"Regular Member"
273,21947889,63,"Regular Member"
275,21831366,1,"Regular Member"
278,21831625,1,"Regular Member"
280,21831515,98,"Regular Member"
286,21948259,65,"Regular Member"
289,21948259,1,"Regular Member"
290,21947971,2,"Regular Member"
291,21831093,2,"Board Member"
292,21831093,1,"Regular Member"
293,21831572,40,"Regular Member"
294,21831572,1,"Regular Member"
295,21831419,1,"Regular Member"
297,21831074,2,"Regular Member"
298,21831074,3,"Regular Member"
299,21948446,1,"Regular Member"
301,21948446,2,"Regular Member"
302,21831069,2,"Regular Member"
305,21831462,2,"Regular Member"
306,21831462,1,"Regular Member"
307,21831347,1,"Regular Member"
308,21831347,65,"Regular Member"
309,21831256,1,"Regular Member"
310,21947933,1,"Regular Member"
311,21947933,2,"Regular Member"
312,21947933,71,"Regular Member"
313,21995024,1,"Regular Member"
314,21995024,39,"Regular Member"
315,21831088,1,"Regular Member"
316,21831088,2,"Regular Member"
317,21831088,65,"Regular Member"
321,21831385,1,"Regular Member"
322,21831385,1,"Regular Member"
323,21831385,12,"Regular Member"
324,21831591,1,"Regular Member"
326,21831151,2,"Regular Member"
327,21900877,2,"Regular Member"
328,21531006,60,Chairperson
329,21831261,1,"Regular Member"
330,21831261,2,"Regular Member"
331,21948264,2,"Regular Member"
333,21732001,1,"Regular Member"
334,21831501,1,"Regular Member"
336,21831501,49,"Regular Member"
337,21831501,65,"Regular Member"
339,21948388,2,"Regular Member"
340,21831639,1,"Regular Member"
341,21831639,2,"Regular Member"
342,21947894,1,"Regular Member"
348,21947894,3,"Regular Member"
350,21948388,65,"Regular Member"
351,21831289,1,"Regular Member"
354,21904401,2,"Regular Member"
355,21831237,7,"Regular Member"
356,21831237,1,"Regular Member"
357,21948504,2,"Regular Member"
358,21831223,1,"Regular Member"
359,21831275,1,"Regular Member"
363,21831275,65,"Regular Member"
364,21831495,49,"Regular Member"
366,21831438,1,"Regular Member"
368,21831438,2,"Regular Member"
369,21831481,2,"Regular Member"
372,21948283,1,"Regular Member"
373,21948283,3,"Regular Member"
374,21948207,1,"Regular Member"
376,21831419,1,"Regular Member"
377,21831314,1,"Regular Member"
378,21731607,1,"Regular Member"
379,21731607,2,"Regular Member"
380,21889134,1,"Regular Member"
382,21889134,49,"Regular Member"
385,21889134,2,"Regular Member"
386,21831371,1,"Regular Member"
387,21831371,2,"Regular Member"
391,21892906,1,"Regular Member"
392,21892906,2,"Regular Member"
393,21892906,65,"Regular Member"
394,21831405,1,"Regular Member"
395,21831405,2,"Regular Member"
396,21831405,52,"Regular Member"
398,21731989,1,"Regular Member"
402,21731989,2,"Regular Member"
403,21431136,108,"Regular Member"
404,21948355,1,"Regular Member"
405,21948355,2,"Regular Member"
406,21948355,49,"Regular Member"
407,21948355,65,"Regular Member"
408,21948355,71,"Regular Member"
409,21948355,63,"Regular Member"
410,21948355,3,"Regular Member"
411,21831184,2,"Regular Member"
413,21831218,1,"Board Member"
416,21831218,131,"Regular Member"
422,21431318,1,"Regular Member"
435,21947837,1,"Regular Member"
447,21831036,2,"Board Member"
451,21531149,1,"Regular Member"
452,21531149,2,"Regular Member"
454,21831127,2,"Board Member"
455,21731736,1,"Board Member"
456,21731994,1,"Board Member"
457,21430929,1,"Board Member"
458,21430929,2,"Board Member"
459,21785162,3,"Board Member"
461,21785162,146,"Board Member"
463,21791799,1,"Regular Member"
465,21431174,80,"Regular Member"
466,21732106,2,"Regular Member"
467,21732106,65,"Regular Member"
468,21580822,65,"Regular Member"
469,21831108,2,"Regular Member"
470,21692731,120,"Regular Member"
471,21692731,62,"Regular Member"
473,21831204,1,"Regular Member"
