id,name,industry
1,ASELSAN,52101010
5,"Hacettepe University",60000005
6,Coşkunöz,53101020
7,"Sabancı Holding",52301010
8,"Hacettepe Hospitals",56102010
9,"Pimeks Group",52201020
10,"BNB Consulting",57201010
11,"THY - Türk Hava Yolları",52402010
12,"Çepaş Galvaniz",51201020
14,"SDT Uzay ve Savunma Teknolojileri",52101010
15,"TAI - TUSAŞ",52101010
16,Arçelik,53204020
17,"Sekiza Savunma, Havacılık ve Uzay Teknolojileri",52101010
18,Dr.Oetker,54102020
19,"Oyak-Renault Otomobil Fabrikaları",53101010
20,"Limak Holding Ankara Çimento Fabrikası",51202010
22,"İş Yatırım Menkul Değerler",55102010
23,Cook,54201010
24,"Sedat Tahir",51302020
25,"Olmuksan International Paper",51301020
26,"Eczacıbaşı VitrA",51202010
27,SunExpress,52401010
28,"Türk Patent Enstitüsü",60000002
29,Decathlon,53402010
30,"MAN Türkiye",53101010
37,"Borusan Logistics",52404020
38,Şişecam,60000006
40,"T.C. Ziraat Bankası",55101010
41,Microsoft,57201020
42,"ORS Bearings",52102010
43,"Yandex Turkey",57201020
44,"Atilla Makine",52201020
45,"ETİ Gıda Sanayi ve Ticaret",54102020
46,"Alarko Carrier",53204020
48,"Demirören Tüp İmalat",50102020
49,"Adecco İnsan Kaynakları ve Danışmanlık",60000001
50,Vestel,53204020
51,KAREL,52102030
52,"PMC Project Management Centre",60000001
53,"EMEK Electrical Industry",52102030
54,DenizBank,55101010
55,"Ermaksan Makina",52102010
56,"AN Group Danışmanlık",60000001
57,"Karacaören Danışmanlık",60000001
58,"Clementon Amusement Park & Splash World",53301040
59,"ING Bank",55101010
60,Prekons,52201020
61,"Ekol Lojistik",52404020
62,"Arbel Bakliyat Hububat",54301020
63,"İnan Danışmanlık",60000001
64,ROKETSAN,52101010
65,"Gür Metal Kaplama Sanayii",52102010
67,"Schneider Electric",52102030
68,"Vestel Elektronik",53204020
69,"Türk Telekom",58101020
72,KPMG,60000001
73,Vodafone,58101020
74,"Garanti Teknoloji",57201010
75,"FORD Otosan",53101010
76,"Acron Bilişim",57201010
77,"Garanti Emeklilik ve Hayat",55301060
78,TÜBİTAK,60000002
79,"Garanti Bankası",55101010
80,"Yapı ve Kredi Bankası",55101010
81,"TED University",60000005
82,"Eutek Business Solutions",57201010
83,"Cengiz Enerji",60000003
84,"CMS Jant ve Makina",53101020
85,"T.C. Bilim, Sanayi ve Teknoloji Bakanlığı",60000002
86,"Çalık Enerji",60000003
87,"Maersk Line",52404020
88,"ÇözenAdam Elektronik Hizmetler",60000001
89,BOSCH,53204020
90,"Ocak Kalıp",52102010
91,"Philip Morris Sigara ve Tütüncülük",54102030
92,"DMO - Devlet Malzeme Ofisi",60000002
93,"Türkiye İş Bankası",55101010
94,"T.C. Ekonomi Bakanlığı",60000002
95,"Nurol Makina ve Sanayi",52102010
96,"HC Evcil Hayvan Yem ve Gıda",54301020
98,"Sivteks Tekstil",53202010
99,"Mercedes Benz Türk",53101010
100,UNILEVER,54201020
101,"Erdemir Demir Çelik",51201020
113,"Erciyes University",60000005
114,"Turgut Ozal University",60000005
115,"TSKGV - Türk Silahlı Kuvvetlerini Güçlendirme Vakfı",52101010
116,"T.C. Adalet Bakanlığı",60000002
117,İston,51202010
119,"Yudum Gıda",54102020
120,"Samet Kalıp ve Madeni Eşya",53204040
122,IBTech,57201010
123,Autoliv,53101020
124,"Türkiye Şeker Fabrikaları Ankara Makina Fabrikası",54102020
125,"Bossa TAŞ",53202010
126,"Türk Prysmian Kablo ve Sistemleri",52102030
127,"Karsan Otomotiv",53101010
131,"Tepe İnşaat",52201020
133,"DZ Bank AG",55101010
134,"Fiducia IT AG",57201010
135,Dimes,60000004
137,"Conoptica AS",52102010
138,"Radyo Hacettepe",53302020
139,"FNSS Savunma Sistemleri",52101010
141,OTOKAR,53101010
143,"TOFAŞ Turkish Automotive Company",53101010
144,"Selnikel Isıtma ve Klima Cihazları",53204020
145,"Nuh'un Ankara Makarnası",54102020
146,IKEA,53204040
147,"URB Group",53101020
148,Ericsson,58101020
190,"Karayolları Genel Müdürlüğü",60000002
191,"İstikbal Mobilya",53204040
192,"Gölbaşı Belediyesi",60000002
193,"Formmetal Makine Sanayi",52102010
195,"TIMEX Filtration & Water Systems",59103010
196,"Tepe Betopan",51202010
197,"YKK Fastening Product",53202010
198,"Vendeka Information Technologies",57201010
199,"Paşabahçe Cam",54201010
201,"Dizayn Makine İmalatı ve Mühendislik",52201020
202,"Zarif Çorap & Tekstil",53202010
203,"İstanbul Büyükşehir Belediyesi",60000002
204,"Başakşehir Belediyesi",60000002
205,"Özyurtlar İnşaat",52201020
206,"Pervan Teknik",52102010
207,"Yeryüzü Doktorları",60000007
208,"Türk Traktör",53101010
209,"ASAŞ Alüminyum",51201030
211,"Vestel Savunma Sanayi",52101010
212,"Omsan Lojistik",52404020
213,"TPI Kompozit Kanat Sanayi ve Ticaret",50104010
215,"Boydak Holding",52301010
216,"Prysmian Group",52102030
226,"Ağaçlı Petrol & Manufacturing",53101010
227,"Ardıç Cam Sanayi",60000006
228,Timay-Tempo,53202010
229,"Erkunt Traktör",53101010
230,"Coca-Cola İçecek",60000004
231,"Yiğit Akü",53101020
232,"Kombassan Kağıt Matbaa",51301020
233,"Küçükpazarlı Havacılık",52101010
234,"Tülomsaş - Türkiye Lokomotif ve Motor Sanayii",53101010
235,"Mastaş Makina",52102020
236,"Çimentaş İzmir Çimento Fabrikası",51202010
237,"Isılsan Makina Sanayi ve Ticaret",53101020
238,"Lazzoni Mobilya",53204040
239,"Anadolu Sigorta",55301060
241,"Nurol Technology",57201010
242,"İstanbul Elektrikli Tramvay ve Tünel İşletmeleri",60000002
283,"Beypazarı Doğal Maden Su İşletmeleri",54301020
284,"Gürçelik Makina",52102010
285,PTT,60000002
289,BOTAŞ,50103030
290,"Arkas Holding",52404020
291,"Teleset Group",52102030
292,"Kale Seramik Çanakkale Seramik Kalebodu",53204040
293,"BIS Çözüm Bilgisayar ve Entegrasyon",57201010
295,Simfer,53204020
296,Halkbank,55101010
297,"Hyundai Assan",53101010
298,"Üntes Isıtma Klima Soğutma Havalandırma",53204020
300,"Noven Enerji ve Bilişim Teknolojileri",57201010
301,"Nissin Yıldız Gıda",54102020
302,"AFS Boru San.",51202010
306,"Turuncu Holding",57201020
307,"Ceva Logistics",52404020
318,"Mesa Mesken İnşaat",52201020
319,"Federal Izumi Manufacturing",53101020
320,"Pupuk Iskandar Muda",60000012
321,"Delphi Automotive Systems",53101020
322,"GES Mühendislik",52101010
323,"ME-GE Teknik",52101010
324,Cargill,54102020
325,Tüpraş,50102030
327,"Copa Coşkunöz Radyatör",54201010
328,"UTKU Industry",52102010
329,"Big Bang Burger",53301020
331,"Duru Bilişim Teknolojileri",57201020
332,"Dyo Boya",60000009
333,"TPAO - Türkiye Petrolleri",60000003
334,"Deser Kimya",59103010
335,"Martur Automotive Seating and Interiors",53101020
336,Gtech,52201020
337,"Avivasa Hayat & Emeklilik",55301030
338,"ITC Invest Trading & Consulting AG Türkiye",52203010
340,"Kitapçı Dergisi",53302040
341,"Girişim Merkezi",52203040
342,"Daussan-Çukurova Kimya",60000012
343,"Zivella Ofis Mobilyaları",57103020
344,"Ülker Bisküvi",54102020
345,OMTAŞ,53101020
346,"Boyçelik Metal",51201020
347,"Aynes Gıda Sanayi ve Ticaret",54102020
349,Netaş,57201010
350,"Meteksan Sistem ve Bilgisayar Teknolojileri",57201010
352,"+90 3B Dijital Fabrika",53403050
354,TURKCELL,58101020
355,"Konya Şeker",54102020
357,HAVELSAN,52101010
359,"Ulusoy Electric",59101010
360,İnnova,57201020
361,"Torun Metal",51201020
362,"British American Tobacco",54102030
363,NACE,52102010
364,"Bisoft Bilgi Teknolojileri",57201020
365,"Etiya Bilgi Teknolojileri",57201010
366,"Hazine Müsteşarlığı",60000002
367,"MKEK - Makine ve Kimya Endüstrisi Kurumu",52101010
368,"Çalık Tekstil",53202010
369,MİTAŞ,52201020
370,"B/S/H/ Home Appliances Group",53204030
371,"Karadeniz Holding",60000003
373,"Güven Hastanesi",56102010
375,"TNT Express International",52404020
376,"Eczacıbaşı Tüketim Ürünleri Grubu",51202010
377,"Huawei Telekomünikasyon",58101020
378,"SYS - Samsun Yurt Savunma",52101010
379,"Blacktech HSS Otomotiv",53101020
380,İsko,53202010
381,"Harput Holding",53202010
382,"Mavinci Bilişim",57201020
383,"Grammer Koltuk Sistemleri",53101020
384,Danone,54102020
385,"Lojika Field Labs",57201010
386,"Necmettin Erbakan University",60000005
387,Plascam,53101020
388,"Deser Enerji ve Mühendislik",60000003
389,Nokia,58101020
390,"Doğuş Otomotiv",53101020
391,"C.E.S. Advanced Composite Products",52101010
392,Gülermak,52201020
393,AFAD,60000002
394,"BPlas Bursa Plastik Metal",53101020
395,"AMI Metals",51201030
396,"Bilkent Holding",52301010
397,TürkTrust,57201020
398,"Pfizer İlaç",54301010
399,"Şölen Çikolata",54102020
400,TEI,52101010
401,SÜTAŞ,54301020
404,"Özel Çakabey Okulları",60000005
405,"Nüve İmalat",56101020
409,Mudo,53202010
410,"Arena System ERP Yazılım ve Yönetim Danışmanlık",57201020
411,"Pepsi Bottling",60000004
412,"Türkiye Finans Katılım Bankası",55101010
414,"Erkunt Sanayi",53101020
415,"Farplas Oto Yedek Parçaları",53101020
417,"Proglas Cam Metal",60000006
418,"Kuveyt Türk Katılım Bankası",55101010
419,Netmarble,57201010
420,"Ziraat Teknoloji",57201020
421,"LC Waikiki",53202010
422,"TOBB University of Economics and Technology",60000005
423,"C.H. Schafer Getriebe",53101020
424,"Medicana International Hospital",56102010
425,Enerjisa,59101010
426,"Ek Ambalaj",51302020
427,"Türkiye Elektromekanik Sanayi",52102030
428,"Altınel Tasarım",53204040
429,TBMM,60000002
430,"Turkish Do&Co",54102020
434,"Avery Dennison",53202010
435,"Pi Makina",52201020
436,"ER-Bakır Elektrolitik Bakır Mamülleri",52102030
437,"Alemdar Soğutma ve Mutfak Malzemeleri",52102010
440,Metsims,60000001
441,Kolin,60000003
442,"Turkuaz Seramik",60000008
443,"Matrisled Elektronik",59101010
444,"Türkiye Vagon Sanayi",52404030
445,"Türk DemirDöküm Fabrikaları",51201020
446,"LUT - Lappeenranta University of Technology",60000005
447,Hidromek,52102020
448,İÇTAŞ,52201020
449,"Rönesans Holding",52201020
450,"Sagra Special",54102020
451,"İnan Makina",51202010
453,Roche,56201030
454,HSBC,55101010
455,"HUGO BOSS",53202020
456,"Alkım Kağıt",51301020
457,"İzmir Demir Çelik Sanayi",51201020
458,"Özgüç Ambalaj",51302020
459,"Von Hotels",53301010
460,"Polin Waterparks",53302030
461,Teknosa,53403050
462,"Erkurt Holding",53101020
463,"Polisan Boya",60000009
464,Pirelli,53101030
465,"The Good Agency Asia",53302010
466,ÇİMSA,51202010
467,"Teknik Masura",52404020
472,"Samsun Borsan",52102010
473,"Samsun Segman Sanayi",53101020
474,"Aşkale Çimento Sanayii",51202010
475,Akbank,55101010
477,"Aksan Çelik Dövme",51201020
478,FTA,52402010
479,"FKK Güney Oto Lastik Takoz",53101030
480,"Marquardt Tunisia",53101020
481,"Eroğlu Giyim",53202010
482,"TEB Türk Ekonomi Bankası",55101010
483,"Ege Fren",53101020
484,"ASTOR Transformatör",52102030
485,"Tepe Home Mobilya ve Dekorasyon",51301010
487,"Eti Maden İşletmeleri",51201050
488,"İskenderun Demir ve Çelik Fabrikaları",51201020
489,"Gürok Turizm ve Madencilik",60000006
490,BTM,53203010
