id,country
1,"United States"
2,"United Kingdom"
3,Norway
4,Greece
5,Afghanistan
6,Albania
7,Algeria
8,"American Samoa"
9,Andorra
10,Angola
11,Anguilla
12,"Antigua & Barbuda"
13,"Antilles, Netherlands"
15,Argentina
16,Armenia
17,Aruba
18,Australia
19,Austria
20,Azerbaijan
21,"Bahamas, The"
22,Bahrain
23,Bangladesh
24,Barbados
25,Belarus
26,Belgium
27,Belize
28,Benin
29,Bermuda
30,Bhutan
31,Bolivia
32,"Bosnia and Herzegovina"
33,Botswana
34,Brazil
35,"British Virgin Islands"
36,"Brunei Darussalam"
37,Bulgaria
38,"Burkina Faso"
39,Burundi
40,Cambodia
41,Cameroon
42,Canada
43,"Cape Verde"
44,"Cayman Islands"
45,"Central African Republic"
46,Chad
47,Chile
48,China
49,Colombia
50,Comoros
51,Congo
52,Congo
53,"Cook Islands"
54,"Costa Rica"
55,"Cote D'Ivoire"
56,Croatia
57,Cuba
58,Cyprus
59,"Czech Republic"
60,Denmark
61,Djibouti
62,Dominica
63,"Dominican Republic"
64,"East Timor (Timor-Leste)"
65,Ecuador
66,Egypt
67,"El Salvador"
68,"Equatorial Guinea"
69,Eritrea
70,Estonia
71,Ethiopia
72,"Falkland Islands"
73,"Faroe Islands"
74,Fiji
75,Finland
76,France
77,"French Guiana"
78,"French Polynesia"
79,Gabon
80,"Gambia, the"
81,Georgia
82,Germany
83,Ghana
84,Gibraltar
86,Greenland
87,Grenada
88,Guadeloupe
89,Guam
90,Guatemala
91,"Guernsey and Alderney"
92,Guinea
93,Guinea-Bissau
94,"Guinea, Equatorial"
95,"Guiana, French"
96,Guyana
97,Haiti
99,Honduras
100,"Hong Kong, (China)"
101,Hungary
102,Iceland
103,India
104,Indonesia
105,"Iran, Islamic Republic of"
106,Iraq
107,Ireland
108,Israel
109,"Ivory Coast (Cote d'Ivoire)"
110,Italy
111,Jamaica
112,Japan
113,Jersey
114,Jordan
115,Kazakhstan
116,Kenya
117,Kiribati
118,"Korea, (South) Rep. of"
119,Kuwait
120,Kyrgyzstan
121,"Lao People's Dem. Rep."
122,Latvia
123,Lebanon
124,Lesotho
125,"Libyan Arab Jamahiriya"
126,Liechtenstein
127,Lithuania
128,Luxembourg
129,"Macao, (China)"
130,"Macedonia, TFYR"
131,Madagascar
132,Malawi
133,Malaysia
134,Maldives
135,Mali
136,Malta
137,Martinique
138,Mauritania
139,Mauritius
140,Mexico
141,Micronesia
142,"Moldova, Republic of"
143,Monaco
144,Mongolia
145,Montenegro
146,Morocco
147,Mozambique
148,"Myanmar (ex-Burma)"
149,Namibia
150,Nepal
151,Netherlands
152,"New Caledonia"
153,"New Zealand"
154,Nicaragua
155,Niger
156,Nigeria
157,"Northern Mariana Islands"
159,Oman
160,Pakistan
161,"Palestinian Territory"
162,Panama
163,"Papua New Guinea"
164,Paraguay
165,Peru
166,Philippines
167,Poland
168,Portugal
170,Qatar
171,Reunion
172,Romania
173,"Russian Federation"
174,Rwanda
175,"Saint Kitts and Nevis"
176,"Saint Lucia"
177,"St. Vincent & the Grenad."
178,Samoa
179,"San Marino"
180,"Sao Tome and Principe"
181,"Saudi Arabia"
182,Senegal
183,Serbia
184,Seychelles
185,Singapore
186,Slovakia
187,Slovenia
188,"Solomon Islands"
189,Somalia
190,"South Sudan"
191,Spain
192,"Sri Lanka"
193,Sudan
194,Suriname
195,Swaziland
196,Sweden
197,Switzerland
198,"Syrian Arab Republic"
199,Taiwan
200,Tajikistan
201,"Tanzania, United Rep. of"
202,Thailand
203,Togo
204,Tonga
205,"Trinidad & Tobago"
206,Tunisia
207,Turkey
208,Turkmenistan
209,Uganda
210,Ukraine
211,"United Arab Emirates"
212,Uruguay
213,Uzbekistan
214,Vanuatu
215,Venezuela
216,"Viet Nam"
217,"Virgin Islands, U.S."
218,Yemen
219,Zambia
220,Zimbabwe
221,Kosovo
222,Liberia
