id,userid,universityid,year,period,sch,story,academicscore,livingscore,transportationscore,accomodationscore,supportscore,suggestscore
1,20727414,15,2010,2,Y,NULL,0,0,0,0,0,0
2,20727471,15,2010,2,Y,NULL,0,0,0,0,0,0
3,20727485,14,2011,2,Y,NULL,3,4,5,2,3,3
4,20829603,14,2011,2,Y,NULL,0,0,0,0,0,0
5,20930044,14,2012,2,Y,13F5DFC,2,3,4,4,4,3
6,20930063,16,2012,2,Y,13F5E0F,4,4,3,3,4,4
7,21031054,16,2012,2,Y,140E88E,4,4,5,4,5,5
8,20930025,17,2013,1,Y,13F5DE9,4,5,5,5,5,5
9,21030943,16,2013,2,Y,NULL,4,5,4,5,5,5
10,21131202,16,2013,2,Y,NULL,3,5,5,5,3,5
11,21130884,17,2014,1,Y,NULL,0,0,0,0,0,0
12,21131177,16,2014,1,Y,NULL,4,2,3,3,2,3
13,21131221,16,2014,1,Y,1426FD5,2,4,5,3,5,5
14,21131273,17,2014,1,Y,1427009,4,4,5,5,5,4
15,21130937,16,2014,2,Y,NULL,0,0,0,0,0,0
16,21131086,17,2014,2,Y,NULL,0,0,0,0,0,0
17,21332134,16,2015,1,Y,NULL,0,0,0,0,0,0
18,21232374,16,2015,1,Y,NULL,3,4,5,4,4,5
19,21232322,17,2015,1,Y,143FAC2,3,5,4,4,4,4
20,21232369,17,2015,1,Y,NULL,0,0,0,0,0,0
21,21232432,17,2015,1,Y,143FB30,4,4,4,5,5,4
22,21232413,17,2015,2,Y,143FB1D,3,5,4,4,4,4
23,21232297,17,2015,2,Y,NULL,3,4,4,4,5,4
24,21232484,17,2015,2,Y,143FB64,4,3,5,4,4,4
25,21481853,17,2015,2,Y,NULL,0,0,0,0,0,0
26,21383513,17,2016,1,Y,1464959,4,4,5,5,5,4
29,21232561,15,2016,1,Y,NULL,4,3,5,5,5,5
30,21232699,15,2016,1,Y,NULL,4,3,5,5,5,5
31,21430953,16,2016,3,Y,14702A9,5,5,5,4,4,5
32,21332483,16,2016,1,Y,NULL,3,5,4,4,3,5
33,21232762,16,2016,1,N,NULL,0,0,0,0,0,0
