id,title,year,semesters,program,company,abstract,keywords
1,"Equipment Information Management System Implementation to Set a Basis for Replacement & Usage Decisions of Patient Monitoring Devices at Hacettepe University Hospitals",20122013,2,2,8,NULL,NULL
2,"Bed Management and Utilization at Hacettepe University Hospitals",20122013,2,2,8,NULL,NULL
3,"Improving First Completion Rates for After Sales Services at B/S/H",20122013,2,2,370,NULL,NULL
4,"Creating Activity Based Costing Structure, Current System Assessment and New System Suggestion for University Hospital",20122013,2,2,8,NULL,NULL
5,"Analysis of the Traditional Appointment System and Non-attendance Rates for the Improvement of the Appointment System of Hacettepe University Hospitals",20122013,2,2,8,NULL,NULL
6,"Analysis and Design of the Appointment System of a Hospital",20122013,2,2,8,NULL,NULL
7,"Distribution of Domestic Electricity Generating Resources in Turkey Considering Energy Security",20122013,2,2,0,NULL,NULL
8,"Increase the Efficiency of the Operating Theatres of Hacettepe University Hospitals",20122013,2,2,8,NULL,NULL
9,"Cost Analysis and Replacement Decision Model with Applications to Ventilators at Hacettepe University Hospital",20122013,2,2,8,NULL,NULL
10,"Minimizing the Financial Losses of Hacettepe University Hospitals: Improving Hospital Billing Process and Reducing Billing Errors",20122013,2,2,8,NULL,NULL
11,"Cost System Analysis and Pricing Strategies at Erdemler Hydraulic",20122013,2,2,811,NULL,NULL
12,"Decision Support System Design for Production Planning Under Uncertain Demand",20122013,2,2,812,NULL,NULL
13,"Analysis of Turkish Macroeconomic Variables",20102011,2,2,0,NULL,NULL
14,"Bus Routing Problem in Hacettepe University Campus of Beytepe",20102011,2,2,5,NULL,NULL
15,"Inventory Systems of Spare Parts in Coca Cola Company",20102011,2,2,230,NULL,NULL
16,"Design and Analysis of Experiments for Rectification Operation Materials' Selection at Paint Shop of Mercedes-Benz Türk",20102011,2,2,99,NULL,NULL
17,"Case Based Reasoning and its Application to Financial Engineering Problems",20102011,2,2,0,NULL,NULL
18,"Simulation Modelling of Oyak Renault's Flexible Assembly Line",20102011,2,2,19,NULL,NULL
19,"Facility Layout: Redesign of Manufacturing-Assembly Plant",20112012,2,2,767,NULL,NULL
20,"Analysis of Material Handling and Material Flow System in ORS Bearings and Integration of the New Facility's Material Handling System to the Current System",20112012,2,2,42,NULL,NULL
21,"Design for an Inventory Control System for Spare Parts",20112012,2,2,15,NULL,NULL
22,"Dynamic Requirement Planning and Master Production Scheduling",20112012,2,2,15,NULL,NULL
23,"After-Sales Service Periodic Maintenance Process",20112012,2,2,813,NULL,NULL
24,"Monitoring JCI Accreditation Indicators by Using Quality Control Tools",20112012,2,2,8,NULL,NULL
25,"Cost Structure Analysis for ANKOR Metal Kaplama",20112012,2,2,806,NULL,NULL
26,"Nurse Scheduling: An Application at a Private Hospital",20112012,2,2,0,NULL,NULL
27,"Classification of Trim Losses and Integrated Tracking System for a Steel Fabrication Factory",20132014,2,2,392,NULL,NULL
28,"Cost Analysis of Sterilization of the Hacettepe Hospital Operating Rooms Linen and Equipments and their Disposable Alternatives",20132014,2,2,8,NULL,NULL
29,"Integration of Clinical Engineering in Hacettepe University Hospital's Technology Management",20132014,1,2,8,NULL,NULL
30,"Analysis of the Operating Processes of Medical Devices and Development of Database to Aid Management of the System of Medical Devices",20132014,2,2,8,NULL,NULL
31,"Development of a Systematic Approach for the Inventory Management of Medicine at Hacettepe University Hospitals",20132014,2,2,8,NULL,NULL
32,"Value Stream Mapping Implementation on Assembly Process of Agustawestland AW139 Helicopter at TAI",20132014,2,2,15,NULL,NULL
33,"Warehouse Layout Design and Product Monitoring System for EGO",20132014,2,2,747,NULL,NULL
34,"Development of a Methodology to Reduce Financial Losses Due to Medical Billing Errors: An Application at Hacettepe University Hospitals",20132014,2,2,8,NULL,NULL
35,"Optimization of Hacettepe University Hospital's Web Site to Increase Quality and Efficiency of Use",20132014,1,2,8,NULL,NULL
36,"Waste Management at Hacettepe University Hospitals",20132014,1,2,8,NULL,NULL
37,"Occupational Health and Safety Risk Management and an Implementation Study at a Conveyor Company",20132014,1,2,814,NULL,NULL
38,"Investigation of the Bed Management System in Hacattepe University Hospitals",20132014,2,2,8,NULL,NULL
39,"Construction and Management of the Hacettepe Hospital's On-Line Existence",20132014,1,2,8,NULL,NULL
40,"Design of an Ergonomic Chair Considering Anthropometric Measurements and Ergotherapic Recommendations",20132014,2,2,0,NULL,NULL
41,"Six Sigma Approach to Improve the Quality of Prosthetic Foot Production Process to Have Less Defects per Batch at Proted Company",20132014,1,2,815,NULL,NULL
42,"Vehicle Routing Study on Hacettepe University Student Services",20132014,1,2,5,NULL,NULL
43,"Analyzing and Optimization of the Hacettepe University Hospital's Patient Appointment System",20132014,1,2,8,NULL,NULL
44,"Optimization of Hacettepe University Hospital's Appointment Systems to Increase Quality and Efficiency of Use",20132014,1,2,8,NULL,NULL
45,"Vehicle Routing Problem for Distribution Company",20132014,1,2,816,NULL,NULL
46,"The Design of Thermos Cup with Integrated Heating System",20132014,1,2,0,NULL,NULL
47,"Analysis of the Production Processes and Improving of the Operations to Reduce Scrap in an Aluminum Industry",20132014,1,2,817,NULL,NULL
48,"Analysis and Redesign of Material Handling System at Arçelik A.Ş.",20142015,2,2,16,NULL,NULL
49,"Ortadoğu Rulman Sanayi ve Tic. A.Ş. Human Resources Ripening Process",20142015,2,2,42,NULL,NULL
50,"Performance Measurement System Design",20142015,2,2,51,NULL,NULL
51,"Balancing Mixed Model Post-Painting Assembly Line",20142015,2,2,229,NULL,NULL
52,"REHIS Production Planning Department Database and Simulation System Design in ASELSAN Company",20142015,2,2,1,NULL,NULL
53,"FNSS Warehouse Project",20142015,1,2,139,NULL,NULL
54,"Flexible Job Shop Scheduling at Project Based Company",20142015,1,2,139,NULL,NULL
55,"Project Management in Volunteer Medical Teams' Projects at Doctors Worldwide",20142015,1,2,207,NULL,NULL
56,"Collection Capacity Increasing for Hacettepe University Library",20142015,2,2,5,NULL,NULL
57,"ERP Implementation: SAP Module for Oil and Gas Sector",20142015,1,2,86,NULL,NULL
58,"Hacettepe University Beytepe Campus Breakdown, Repair and Maintenance System Analysis and Improvement",20142015,1,2,5,NULL,NULL
59,"Selection of Buildings for Energy Management-Operating System Integration by Using Outranking Methods",20142015,1,2,818,NULL,NULL
60,"Applying Lean Manufacturing to the Production System of Lazzoni",20142015,2,2,238,NULL,NULL
61,"Towards a Competency-Based Product Pricing Methodology - A Case Study",20142015,1,2,819,NULL,NULL
62,"Return of Investment Analysis for Employing RFID Technology Using Shrinkage Costs in Beytepe Gün Hospital",20142015,2,2,5,NULL,NULL
63,"Conceptual Employment of RFID in a Warehouse",20142015,2,2,8,NULL,NULL
64,"Forecasting Coca Cola's Stock Market Prices in BIST100 by Using ARIMA Model",20142015,1,2,0,NULL,NULL
65,"Carrier Interior Placement Optimization for TOFAŞ's Domestic Supply Chain",20142015,1,2,143,NULL,NULL
66,"Comparison of Conventional Prototyping Methods with 3D Printing Prototyping for the Production of Scale Models",20142015,1,2,0,NULL,NULL
67,"Improvement of Facility Layout in Ağaçlı Manufacturing",20142015,1,2,226,NULL,NULL
68,"Technology Management Process Modelling for Havelsan",20142015,1,2,357,NULL,NULL
69,"The RFID System Project at UPS",20142015,1,2,820,NULL,NULL
70,"Reducing Waste at Production of Rock Wool",20142015,1,2,821,NULL,NULL
71,"Applying Binary Integer Programming to University Course Timetabling Problem",20152016,2,2,0,NULL,NULL
72,"Inventory Inaccuracy in KAREL Electronics",20152016,2,2,51,NULL,NULL
73,"Start-Up Consultancy for an Automotive Production Company",20152016,2,2,0,NULL,NULL
74,"Material & Part Assignment for Different Warehouses in Arçelik",20152016,2,2,16,NULL,NULL
75,"Modeling and Optimization of Project Based Storage and Locations for ASELSAN's Warehouse",20152016,2,2,1,NULL,NULL
76,"Developing a New Method for Inspections in a Lighting Company with Inventory Record Inaccuracy",20152016,1,2,822,NULL,NULL
77,"Employing Lean Production Methodology on an Assembly Line Using Petri Nets - Modeling and Evaluation of the Performance",20152016,2,2,359,NULL,NULL
78,"Designing a Decision Support System to Handle Changes in External Factors of Urban Transportation System: Kamil Koç Buses Inc. Application",20152016,2,2,823,NULL,NULL
79,"Optimization on Internal Logistics Activities in Arçelik Dishwashing Machine Factory",20152016,2,2,16,NULL,NULL
80,"Cost Analysis and Capacity Planning of End Product in Food Industry Machinery: A Case Study for a Project Based Company",20152016,1,2,824,NULL,NULL
81,"Probabilistic Analysis of the Education Policy by Using Bayesian Network",20152016,1,2,0,NULL,NULL
82,"Evaluating the Effect of Digital Signage Technology and Point of Purchase Strategy on Sales, a Regression Study and Analyzing Financial Outcomes",20152016,1,2,69,NULL,NULL
83,"The Relationships Between Emotional Intelligence, Organizational Commitment, Burnout and Job Satisfaction of Surgical Nurses in Hacettepe University Hospital: A Questionnaire Survey",20152016,1,2,8,NULL,NULL
84,"Hacettepe University Hospital Warehouse Improvement by Implementing RFID Technology",20152016,1,2,8,NULL,NULL
85,"Radio Frequency Identification (RFID) Technology in Supply Chains",20152016,1,2,0,NULL,NULL
86,"Mobile Ordering System for Hacettepe University Cafeteria via QR Codes",20162017,1,2,5,"There are numerous factors that affect customers' satisfaction perceptions of service quality in
catering services. Among these factors, service quality, food quality and physical environment
are the most significant factors influencing service quality perceptions. The goal of this project is
to design new mobile ordering system to prevent food depleting, minimize waiting time and
reduce seat problem at rush hours for Hacettepe University Cafeteria K. As a solution the project
report describes the design and development of new cafeteria management system via quick
response (QR) code to enhance operational efficiency. During this project DMAIC (Define,
Measure, Analyse, Improve, and Control) approach is used for problem solving methodology
alongside the statistical tools for cafeteria. This study demonstrates the significance and benefits
of using this technology specifically in the foodservice industry.",
87,"Facility Layout and Warehouse Planning for a Project Based Company",20162017,2,2,369,"This report deals with the facility layout design and warehouse planning for a project based
company. The scope of this project is grouping the machines according to similar processes.
With the arrangement of the machines and warehouse, order will be provided within the
factory. In this case, it will lead us to achieve our objectives. The project's main objectives
are decreasing material handling cost, minimizing the risk of the injury to employee and
damage to raw material and constituting effectively warehouse layout. The planned
methodology to handle these objectives is creating mathematical model to solve with LINGO
software.
","Facility Layout; Project Based Company; Warehouse Planning; Material
Handling; Material Transportation; Machine Layout; From to Chart; GMAFLAD; LINGO"
