id,projectid,studentid
1,1,20929946
2,1,20829468
3,1,20829487
4,1,20829583
5,2,20829559
6,2,20727557
7,3,20829507
8,4,20829545
9,4,20829597
10,4,20829363
11,4,20829636
12,5,20929893
13,5,20829492
14,5,20829531
15,6,20829526
16,6,20829669
17,7,20829325
18,7,20829603
19,7,21073451
20,8,20829311
21,8,20829339
22,8,20829622
23,9,21073479
24,9,20829641
25,10,20829421
26,10,20829578
27,10,20829358
28,10,20829377
29,11,20829344
30,11,20829396
31,11,20829655
32,12,20829473
33,12,20829512
34,12,20930011
35,13,20727562
36,14,20727524
37,15,20727428
38,15,20970651
39,15,20727595
40,16,20727447
41,16,20727505
42,17,20727686
43,17,20727629
44,17,20727615
45,18,20727653
46,18,20727711
47,19,20727414
48,19,20727691
49,19,20727543
50,20,20829564
51,20,20727672
52,20,20970821
53,21,20727452
54,21,20727519
55,21,20727538
56,22,20829306
57,22,20829454
58,23,20727433
59,23,20727471
60,23,20727576
61,24,20727499
62,24,20727706
63,24,20727601
64,25,20970854
65,25,20829435
66,25,20727648
67,26,20727485
68,27,20930039
69,27,20929869
70,27,20930187
71,28,21031112
72,28,21031021
73,29,20929817
74,29,20829382
75,29,20829617
76,29,20930149
77,30,20929984
78,30,20930058
79,31,20901248
80,31,20929855
81,31,20930063
82,32,20929888
83,32,20930135
84,32,20800918
85,33,21030698
86,34,20929965
87,34,21030833
88,34,21030899
89,34,21030962
90,35,21031054
91,35,20929836
92,35,21131072
93,36,20929908
94,36,20930006
95,36,20930077
96,37,20930212
97,37,20930121
98,38,20930168
99,38,21172098
100,38,20930154
101,39,20930192
102,39,20930044
103,39,20929841
104,39,20929822
105,40,20930102
106,40,20930116
107,41,20829693
108,41,20901272
109,41,20929932
110,41,20829382
111,42,20929817
112,42,20930149
113,43,20930192
114,43,20930044
115,43,20929841
116,43,20929822
117,44,21031054
118,44,20929836
119,44,21131072
120,45,21130937
121,45,20829617
122,46,20929908
123,46,20930006
124,46,20930077
