id,dept,uni
58,"Industrial Engineering",METU
59,"Industrial Engineering","Gazi University"
60,"Industrial Engineering","Boğaziçi University"
61,"Chemical Engineering",METU
62,"Mechanical Engineering","Kırıkkale University"
63,"Mechanical Engineering","Kırıkkale University"
64,"Civil Engineering","Karadeniz Technical University"
65,"Civil Engineering","Süleyman Demirel University"
66,"Industrial Engineering","Doğuş University"
67,"Metallurgical and Materials Engineering","Sakarya University"
68,"Mining Engineering","Hacettepe University"
69,"Industrial Engineering","Başkent University"
70,"Electrical and Electronics Engineering","TOBB ETU"
71,"Electrical and Electronics Engineering","Eskişehir Osmangazi University"
72,"Computer Engineering","Bilkent University"
73,"Mechanical Engineering","TOBB ETU"
74,"Business Administration","Gazi University"
75,"Statistics and Computer Science","Başkent University"
76,"Chemical Engineering","Hacettepe University"
77,"Geological Engineering","Hacettepe University"
78,"Computer Engineering","Atılım University"
79,"Mechanical Engineering",METU
80,"Computer Education and Instructional Technology",METU
81,"Mechanical Engineering","Atılım University"
82,"Mechanical Engineering","Atılım University"
83,Mathematics,"Ankara University"
84,"Industrial Engineering","Kırıkkale University"
85,"Electronics and Communication Engineering","Kocaeli University"
86,"Health Administration","Hacettepe University"
87,"Metallurgy and Materials Engineering","Sakarya University"
88,"Environmental Engineering","Trakya University"
89,Statistics,"Hacettepe University"
90,Physics,METU
91,"Industrial Engineering","Erciyes University"
92,"Industrial Engineering","Çankaya University"
93,"Civil Engineering","Anadolu University"
94,"Civil Engineering","Karadeniz Technical University"
95,"Computer Engineering","Hacettepe University"
96,Architecture,"Mimar Sinan Fine Arts University"
97,"Metallurgical and Materials Engineering",METU
98,"Mechanical Engineering","Selçuk University"
99,"Mechanical Engineering","Cumhuriyet University"
100,"Metallurgy and Materials Engineering","Karadeniz Technical University"
101,"Mechanical Engineering","Bilkent University"
102,"Electrical and Electronics Engineering","Mersin University"
103,"Metallurgical and Materials Engineering","Atılım University"
104,"Computer Engineering","Hacettepe University"
105,"Chemical Engineering","Ankara University"
106,"Computer Engineering","Başkent University"
107,"Statistics and Computer Science","Başkent University"
108,"Food Engineering","Celal Bayar University"
109,"Electrical and Electronics Engineering","Bilkent University"
110,"Food Engineering","Ondokuz Mayıs University"
111,"Chemical Engineering","Ege University"
112,"Business Administration","Atılım University"
113,Chemistry,"Muğla Sıtkı Koçman University"
116,"Industrial Engineering","International Ahmet Yesevi University"
117,"Business Administration",METU
