id,skillid,userid,value
1,1,20829421,4
5,25,20829421,4
14,8,20829421,4
15,9,20829421,3
18,18,20829421,4
20,1,20929984,3
21,11,20929984,3
22,13,20929984,4
23,17,20929984,4
24,18,20929984,2
25,1,21692946,4
26,2,21692946,1
29,9,21692946,1
31,15,21692946,3
32,18,21692946,2
33,28,21692946,4
35,26,21692946,4
37,30,21692946,3
38,1,21383565,4
40,19,21383565,2
41,8,21383565,3
42,9,21383565,3
43,16,21383565,2
44,17,21383565,4
45,18,21383565,3
47,13,21383565,2
48,11,21383565,3
50,33,21383565,4
51,25,21383565,3
52,29,21383565,4
53,28,21383565,4
61,1,21332412,4
63,11,21332412,2
64,13,21332412,1
65,15,21332412,1
66,9,21332412,1
67,18,21332412,2
68,16,21332412,1
69,17,21332412,2
70,25,21332412,1
71,37,N14210964,2
73,16,21332368,1
74,15,21332368,2
75,18,21332368,2
76,17,21332368,3
77,19,21332368,1
78,1,21332368,3
79,1,20901248,4
81,17,20901248,4
82,1,21607921,4
83,6,21607921,1
84,15,21607921,3
85,16,21607921,2
86,11,21607921,2
87,28,21607921,3
88,26,21607921,3
89,29,21607921,3
90,25,21607921,1
91,38,20901248,3
94,1,21693497,4
95,41,21693497,2
96,8,21693497,4
97,10,21693497,4
98,19,21693497,3
99,42,21693497,4
100,43,21693497,4
101,8,21232336,4
102,25,21232336,3
103,36,21232336,3
104,15,21232336,3
105,9,21232336,2
106,39,21232336,2
107,17,21232336,4
108,16,21232336,2
109,18,21232336,3
110,13,21232336,2
111,11,21232336,2
112,1,21232336,4
113,1,21232801,2
114,7,21401386,4
115,3,21401386,4
116,1,21401386,4
117,2,21401386,1
118,39,21401386,3
119,11,21401386,3
121,1,21332497,4
124,1,20829693,4
125,15,20829693,2
128,33,21685144,2
129,1,21685144,3
130,1,N17113663,3
131,1,N17118787,4
134,43,21731865,3
135,29,21731865,4
136,30,21731865,4
137,1,21731865,3
140,3,21731865,2
141,1,21431208,4
142,2,21431208,2
143,1,N17136814,4
144,1,21731788,4
147,1,21631593,3
149,15,21631593,2
150,1,21732029,4
151,15,21732029,1
152,2,21631541,1
153,44,21631517,3
154,1,21631517,3
156,45,21631541,3
157,1,21531317,3
159,17,21531317,1
160,30,21531317,2
161,43,21531039,2
163,1,21631426,2
164,1,21631445,3
165,1,21631536,3
166,1,21693588,3
168,29,21693588,3
169,1,21631541,3
170,11,21693588,1
171,12,21693588,2
172,13,21693588,1
173,46,21693588,2
174,47,21693588,1
175,19,21693588,2
176,48,21693588,4
177,49,21693588,3
178,50,21693588,2
179,51,21693588,4
180,43,21693588,1
182,2,21331984,1
183,16,21331984,1
184,18,21331984,3
185,8,21331984,1
186,39,21331984,3
187,19,21331984,2
191,1,21631794,3
192,40,21631794,2
193,44,21631794,3
196,40,21631503,3
199,1,21631431,3
201,1,21631392,3
207,28,21631536,2
219,1,21631588,3
220,40,21631588,3
221,1,21631698,3
