id,userid,type,score,year
5,21030962,1,91,2014
6,20829421,6,169,2012
8,20829421,3,90,2013
9,20829421,4,85,2012
10,20829507,3,95,2013
11,20930102,2,81,2014
12,20930102,3,81,2014
13,20901248,1,100,2014
14,20829363,3,89,2013
15,20829507,4,79,2014
16,20829507,2,45,2014
17,20930168,2,80,2014
18,20930168,4,80,2014
21,20727414,3,93,2011
24,20929836,2,89,2014
26,20829339,2,82,2012
27,20930077,3,90,2014
30,20930116,2,86,2014
34,20930135,3,84,2014
35,20930135,2,76,2014
36,20930039,2,83,2013
37,20930039,3,83,2014
38,20929869,2,73,2013
39,20970854,3,91,2012
40,20970854,1,84,2012
41,20930116,3,86,2014
46,21031016,2,71,2015
48,21030704,3,80,2014
49,21030957,3,91,2013
51,21030957,2,59,2015
52,21031073,2,65,2015
53,20829693,3,75,2015
54,20829693,2,81,2015
55,21030938,3,80,2015
57,20829421,1,109,2015
58,21031068,3,84,2015
59,21031068,2,83,2015
60,21030981,3,82,2014
61,21031087,1,99,2015
62,21030761,2,71,2014
63,21030794,3,85,2014
64,21001032,2,61,2015
65,21001032,3,73,2015
66,21031016,3,85,2014
67,21031126,2,70,2015
68,21279813,2,61,2015
69,21131001,2,73,2015
71,20829339,1,88,2015
78,21131177,2,88,2015
80,21030847,2,80,2015
81,21030847,3,84,2015
82,21232504,3,85,2015
83,21232504,1,92,2016
84,21232504,2,85,2016
85,20930082,3,88,2015
86,20930082,2,71,2013
87,20929998,2,88,2016
88,21030698,3,95,2014
89,21131202,1,104,2015
90,20929888,3,96,2014
91,20929888,2,78,2014
92,20929888,4,90,2014
94,21232705,3,83,2015
96,21031049,3,79,2015
97,21031049,4,79,2016
98,21031049,2,61,2015
99,21131034,4,76,2016
100,21232614,2,86,2016
101,21232465,1,90,2015
102,N16117016,2,88,2016
104,N16110095,1,99,2016
105,21401411,1,81,2014
106,N15215518,3,87,2014
107,21131072,3,94,2014
108,21131072,5,150,2015
109,21131072,6,168,2015
110,21131072,7,3,2015
111,21131072,2,84,2013
112,21131001,3,73,2015
114,20930173,2,97.5,2016
116,N14317902,3,69,2015
117,20930187,2,85,2016
118,N15219318,3,65,2016
121,21232322,2,76.25,2017
122,21232322,3,84,2016
123,21691657,2,80,2017
124,20929836,2,80,2017
125,21232484,2,79,2017
126,21130851,2,93,2017
127,21131029,2,90,2017
128,20929984,3,91,2014
129,20929984,2,80,2017
130,21131292,2,80,2017
131,21030957,4,85,2016
132,20930149,2,69,2014
133,21332387,2,67.5,2017
134,21030885,3,86.26,2015
135,21030885,2,78.75,2015
136,N14216068,2,75,2017
137,N14216068,7,75,2017
138,N15217231,3,76,2015
139,21101691,1,99,2014
140,21101691,6,164,2017
142,21691657,3,80,2017
143,21232801,3,73,2017
145,21131029,3,87,2017
146,20930187,3,87,2017
147,21131177,3,77,2016
148,21232413,3,84,2017
149,20970821,9,7,2014
154,21232484,3,78,2017
156,N14210964,8,6,2001
157,N14210964,9,7.5,2015
158,N15217936,3,70,2015
161,20727499,4,90,2012
162,21232705,2,82.5,2017
163,N17136814,3,82.5,2015
164,N17136814,2,82.5,2015
165,N17133393,3,80,2014
166,N17133393,2,80,2014
167,N17116388,3,86,2017
168,N17135782,3,88.14,2017
169,N17135782,2,82.5,2017
170,N14310999,3,89.4,2012
171,N14310999,2,82.5,2014
172,N16112133,3,80.35,2015
173,N16112133,2,70.5,2016
174,N16119544,2,77,2016
176,N17238561,2,76.25,2017
177,N17238561,3,89.28,2017
178,21332412,8,7.5,2017
180,21332497,4,85,2016
181,21031126,8,7,2018
182,20829622,2,71.25,2014
183,20829622,3,91,2013
184,21401406,2,86.25,2018
185,21131202,3,85,2017
186,20829421,2,87.5,2017
187,20829492,2,81.25,2014
188,20829492,10,77.5,2018
189,21232336,3,88,2017
191,21172098,2,93.75,2018
192,21172098,1,88,2016
193,21172098,3,91,2017
194,21691767,3,75,2018
195,21332497,3,87.41,2017
196,20829617,3,84,2016
197,21232498,3,85,2017
198,21232498,8,6.0,2018
199,20727648,1,102,2012
200,20727648,3,86,2018
201,20727648,2,86.25,2017
202,21332412,3,82,2018
203,21030809,3,89,2017
204,21232705,4,77,2018
206,N18131749,2,88.75,2017
207,21232647,2,85,2017
208,21031021,1,112,2018
209,21031021,3,94,2015
210,N18139171,8,6.5,2015
212,21431342,3,82,2018
213,21806903,1,553,2016
214,21332497,2,91.25,2018
215,N18139791,3,79,2017
217,N18131749,3,83.3,2018
220,21130904,3,97.4,2017
222,21130904,2,82.5,2017
223,21232504,3,97.67,2018
224,21232504,7,169,2017
225,21232504,1,104,2017
226,21232451,4,88.86,2018
227,21030775,3,88,2016
228,21030775,2,75,2016
229,N18139959,8,7,2014
230,21332464,3,91.2,2018
231,21332464,4,87,2018
232,21332464,4,87,2018
233,21332167,3,84,2018
234,21332095,2,80,2018
235,21232537,3,88.735,2017
236,21232537,2,81.25,2017
237,20930025,8,6.5,2015
238,21332115,2,81.25,2018
239,21332005,3,87,2018
240,20929951,2,77.5,2018
241,20929951,4,77,2018
242,20929951,3,79,2016
243,20929951,3,83,2014
244,20929951,8,6,2016
245,20929951,1,77,2018
246,21232589,3,93,2018
247,21232589,2,84,2018
248,21383565,3,90.45,2017
249,N18137896,3,88,2018
250,N18137896,2,80,2018
251,N18137896,4,92,2014
252,21232652,4,90.8,2018
253,21232652,3,89.7,2018
254,21232652,2,61.25,2018
255,21401386,8,7.5,2019
257,21332101,3,72,2018
258,21131196,3,85,2016
259,21693101,8,7.0,2019
260,N18134892,3,81,2016
261,21332211,3,86,2018
262,21332478,3,85,2018
263,21332478,4,86,2018
265,21431213,3,91.39,2019
266,21232705,3,84,2019
268,21531121,3,90.7,2019
269,21531058,3,90,2019
270,21332115,3,85,2019
271,21131221,3,83,2017
272,21031087,1,104,2018
273,20727499,2,92,2019
274,21131015,3,87.57,2017
275,21693569,8,6.5,2019
276,21531374,3,89,2018
282,21531336,1,98,2019
283,21531336,20,71,2019
284,21531336,22,88,2018
286,21131144,3,91.42,2019
287,21131144,4,87.41,2019
288,21131144,2,68.75,2019
290,21607949,8,7,2019
291,N19132179,3,90.2,2017
292,N19132179,2,82.5,2018
293,N14211076,2,82.5,2019
302,21693569,8,6.5,2019
303,21430929,3,92.75757,2019
304,21785162,22,92.5,2018
305,21785162,8,7.5,2015
306,21430895,3,89,2019
308,21531336,14,59.5,2019
309,21332024,2,85.0,2019
310,N19232876,2,80,2018
311,N19232876,3,83.42,2017
312,21831204,22,56.5,2020
313,N19238320,1,97,2009
314,21731697,22,80.25,2020
315,N19231217,3,82.5,2019
316,21831165,22,90.25,2020
317,21784399,3,81,2019
318,21995302,12,62,2014
319,21995302,22,79.5,2020
320,21995302,1,80,2019
321,N18231355,1,78,2013
322,N18234418,9,7.0,2017
323,21601288,1,92,2019
324,N19136913,8,7.0,2014
325,N19136913,8,7.0,2018
326,N19136913,1,85,2020
327,N19136913,3,70,2019
328,N19131764,3,89,2015
329,N19131764,2,63,2015
330,21531245,3,89,2019
332,21531245,2,75,2020
333,N19234411,3,81,2017
334,N19234411,2,71.25,2016
335,21531393,3,88,2019
336,N19131490,3,89.75,2019
337,21232666,3,90.03,2019
339,21332206,2,80,2018
340,21332206,3,85,2019
341,21332024,3,89.6,2019
342,21531207,3,87.63,2019
343,21692731,22,86,2017
345,21631723,3,89.46102,2018
346,21130961,3,91.23,2018
347,21732106,22,77,2020
348,21986362,22,69.70,2020
349,21693503,2,95,2020
515,21531336,3,90,2020
516,20929888,3,97.47,2018
517,21531077,3,90,2020
518,21430972,3,94.66,2020
519,21531427,3,91.5,2020
520,21430934,3,86.7,2020
521,21531025,3,88,2020
522,21431251,3,83,2020
523,21531479,3,90.25,2020
526,21631387,3,92,2020
529,21631593,3,89.4,2020
530,21607921,3,80.16267,2019
531,21607921,2,72.5,2020
532,21531465,3,84.38,2019
533,21232479,3,90,2019
534,N20132199,3,79.12,2020
535,N20132199,2,62.50,2016
536,N20140851,6,156,2019
537,N20140851,2,85,2019
538,N20137890,8,6.0,2019
539,N20139008,3,84.95224,2019
540,N20139008,2,87.5,2019
541,N20135642,3,77,2018
543,21332129,3,95.5,2018
544,21332129,2,73.75,2018
545,N20136164,3,76.64,2019
546,N20136164,2,67.50,2019
549,21948393,22,82.5,2019
550,21785162,3,88,2020
551,21692506,2,73,2020
552,21731994,22,77.5,2020
553,21531369,3,90.5,2020
554,21232451,4,86.03,2020
555,21332392,3,85,2020
558,20930058,4,84.992,2018
559,20930058,3,86.577,2018
560,20930058,2,73.75,2018
562,21631522,3,89.3,2020
568,20829358,8,7.5,2020
569,21631593,2,78.75,2021
570,21431059,3,85,2020
571,21685086,3,91,2021
572,21531504,3,93,2020
573,21731813,3,92.99812,2021
574,21731808,22,95.75,2021
575,21631665,3,91,2021
576,21831625,22,89.50,2021
577,20829564,1,83,2012
578,21431208,3,84,2019
579,21431208,2,95,2021
580,21431208,4,74,2020
581,21631794,3,93.54,2020
