id,name,city,country
1,"Mehmet Emin Resulzade Anadolu Lisesi",Ankara,Turkey
3,"Ankara Atatürk Anadolu Lisesi (Sıhhiye)",Ankara,Turkey
5,"Gazi Anadolu Lisesi",Ankara,Turkey
6,"Milli Piyango Anadolu Lisesi",Ankara,Turkey
7,"Bornova Anadolu Lisesi",İzmir,Turkey
8,"Bartın Davut Fırıncıoğlu Anadolu Lisesi",Bartın,Turkey
9,"Nilüfer Milli Piyango Anadolu Lisesi",Bursa,Turkey
10,"Ayrancı Anadolu Lisesi",Ankara,Turkey
11,"Batıkent Lisesi",Ankara,Turkey
12,"Ödemiş Anadolu Öğretmen Lisesi",İzmir,Turkey
13,"Metin Nuran Çakallıklı Anadolu Lisesi",Antalya,Turkey
14,"Turgut Alp Anadolu Lisesi",Bursa,Turkey
15,"Bursa Anadolu Lisesi",Bursa,Turkey
16,"Adem Tolunay Anadolu Lisesi",Antalya,Turkey
17,"İçel Anadolu Lisesi",Mersin,Turkey
18,"Samsun Atatürk Anadolu Lisesi",Samsun,Turkey
19,"Yahya Turan Anadolu Öğretmen Lisesi",Hatay,Turkey
20,"Kabataş Erkek Lisesi",İstanbul,Turkey
22,"Samsun Anadolu Lisesi",Samsun,Turkey
23,"Adana Ticaret Odası Anadolu Lisesi",Adana,Turkey
24,"Rize TOBB Fen Lisesi",Rize,Turkey
25,"İzmir Kız Lisesi",İzmir,Turkey
26,"Dr. Binnaz Ege Dr.Rıdvan Ege Anadolu Lisesi",Ankara,Turkey
27,"Kdz. Ereğli Anadolu Lisesi",Zonguldak,Turkey
29,"Fethiye Kemal Mumcu Anadolu Lisesi",Muğla,Turkey
30,"Marmaris Halıcı Ahmet Urkay Anadolu Lisesi",Muğla,Turkey
32,"Fatih Sultan Mehmet Lisesi",Ankara,Turkey
33,"Darıca Neşet Yalçın Lisesi",Kocaeli,Turkey
35,"Maltepe Askeri Lisesi",İzmir,Turkey
36,"Süleyman Demirel Anadolu Lisesi",Ankara,Turkey
37,"Uluğbey Anadolu Lisesi",Ankara,Turkey
38,"Al Omran",Tunis,Tunisia
39,"Şehremini Anadolu Lisesi",İstanbul,Turkey
40,"Nermin Mehmet Çekiç Anadolu Lisesi",Ankara,Turkey
41,"Çankaya Anadolu Lisesi",Ankara,Turkey
42,"İzmir Karşıyaka Anadolu Lisesi",İzmir,Turkey
43,"Bartın Hasan Sabri Çavuşoğlu Fen Lisesi",Bartın,Turkey
44,"TED Ankara Koleji Vakfı Özel Lisesi",Ankara,Turkey
45,"Suat Terimer Anadolu Lisesi",İstanbul,Turkey
46,"Kaya Karakaya Anadolu Lisesi",Elazığ,Turkey
47,"Aydınlıkevler Anadolu Lisesi",Ankara,Turkey
48,"TED Karadeniz Ereğli Koleji",Zonguldak,Turkey
49,"İstek Özel Bilge Kağan Fen Lisesi",İstanbul,Turkey
50,"Yamanlar Koleji",İzmir,Turkey
51,"Samiha Ayverdi Anadolu Lisesi",İstanbul,Turkey
52,"Yıldırım Beyazıt Anadolu Lisesi",Ankara,Turkey
53,"Eskişehir Anadolu Lisesi",Eskişehir,Turkey
