id,industry,industrytr
50101010,Coal,Kömür
50102010,"Integrated Oil and Gas","Bütünleşik Petrol ve Gaz"
50102020,"Oil and Gas Exploration and Production","Petrol ve Gaz Arama ve Üretim"
50102030,"Oil and Gas Refining and Marketing","Petrol ve Gaz Rafine ve Pazarlama"
50103010,"Oil and Gas Drilling",NULL
50103020,"Oil-related Services and Equipment",NULL
50103030,"Oil and Gas Transportation Services",NULL
50104010,"Renewable Energy Equipment & Services",NULL
50104020,"Renewable Fuels",NULL
51201010,"Precious Metals & Minerals",NULL
51201020,Steel,Çelik
51201030,Aluminum,NULL
51201050,"Specialty Mining & Metals",NULL
51202010,"Construction Materials, Supplies & Fittings","İnşaat Malzemeleri ve Parçaları"
51301010,"Forest & Wood Products",NULL
51301020,"Paper Products",NULL
51302010,"Non-Paper Containers & Packaging",NULL
51302020,"Paper Packaging",NULL
52101010,"Aerospace & Defense","Havacılık ve Savunma"
52102010,"Industrial Machinery & Equipment","Endüstriyel Makine ve Parçalar"
52102020,"Heavy Machinery & Vehicles",NULL
52102030,"Electrical Components & Equipment","Elektrik Parçaları ve Araçları"
52102040,"Heavy Electrical Equipment",NULL
52201020,"Construction & Engineering","İnşaat ve Mühendislik"
52202010,"Diversified Trading & Distributing",NULL
52203010,"Environmental Services",NULL
52203020,"Commercial Printing Services",NULL
52203030,"Employment Services",NULL
52203040,"Business Support Services & Supplies",NULL
52301010,"Industrial Conglomerates",NULL
52401010,"Air Freight & Courier Services",NULL
52402010,Airlines,"Hava Yolları"
52402020,"Airport Services","Havaalanı Hizmetleri"
52403020,"Marine Port Services",NULL
52404010,"Passenger Transportation, Ground & Sea",NULL
52404020,"Logistics and Freight Transportation","Lojistik ve Taşımacılık"
52404030,"Highways & Rail Tracks",NULL
53101010,"Auto, Truck & Motorcycle Manufacturers","Otomobil, Kamyon ve Motorsiklet Üreticileri"
53101020,"Auto, Truck & Motorcycle Parts & Service","Otomobil, Kamyon ve Motorsiklet Yedek Parça ve Hizmetleri"
53101030,"Tires & Rubber Products",NULL
53202010,"Textiles & Leather Goods","Tekstil ve Deri Ürünleri"
53202020,"Apparel & Accessories",NULL
53202030,Footwear,NULL
53203010,Homebuilding,NULL
53204020,"Consumer Electronics","Tüketici Elektroniği"
