id,title,year,semester,studentid,advisor
1,"Askeri Yemekhanelerdeki Tabldot Mönülerinde İsraf Oranlarının Azaltılması Üzerine Deney Tasarımı Uygulaması: Fırında Balık Örneği",20152016,2,N14112926,"Murat Caner Testik"
2,"e-ticaret Sisteminde Müşteri İlgisini Artıracak Faktörlerin Belirlenmesi",20152016,2,N14112106,"Murat Caner Testik"
3,"Hastane Faturalarındaki Kesinti Nedenlerinin İstatistiksel Kalite Kontrol Yöntemleriyle Analizi",20152016,2,N14117882,"Murat Caner Testik"
4,"Parçacık Sürü Eniyileme Yöntemi ile Yazılım Güvenilirliğinin Modellenmesi ve Sürecin İstatistiksel Süreç Kontrol Teknikleri ile İzlenmesi",20152016,2,N14110061,"Murat Caner Testik"
5,"Türkiye’deki Çevre Ölçüm Laboratuvarlarının Akreditasyonu için ISO 17025 Kalite Yönetim Sisteminin Araştırılması",20152016,2,N14216535,"Murat Caner Testik"
6,"Araçların LPG Yakıt Sistemi Tadilat Muayenesi için İstatistiksel Süreç Kontrolü",20162017,1,N14217599,"Murat Caner Testik"
7,"Gazaltı Metal Ark Kaynağı Yönteminde Nüfuziyeti Etkileyen Proses Değişkenlerinin Optimum Seviyelerinin Tayini Üzerine Deney Tasarımı Uygulaması",20162017,1,N14313379,"Murat Caner Testik"
8,"Oto Kaporta Son Kat Boya Uygulaması Sonrası Portakallanma Oluşumunu Etkileyen Değişkenlerin Optimum Seviyelerinin Tayini Üzerine Deney Tasarımı Uygulaması",20162017,1,N14219622,"Murat Caner Testik"
9,"Kalite Mühendisliğinde Deney Tasarımı; Taguchi Tasarımı ve İstatistiksel Kalite Kontrol Tekniklerinin Uygulanması",20162017,1,N14211076,"Murat Caner Testik"
10,"Doping Kontrolde Endojen Anabolik Androjenik Steroid Analizlerinde İstatistiksel Süreç Kontrolü",20162017,1,N14113079,"Murat Caner Testik"
11,"Enerji Verimliliğinde Kalite Mühendisliği Uygulamaları",20162017,1,N14216068,"Murat Caner Testik"
12,"Mineral Katkı Kullanımının Çimento Kalitesi Üzerine Etkisinin Deney Tasarımı ile İncelenmesi",20162017,1,N14113212,"Murat Caner Testik"
13,"MR Cihazlarında Görüntü Kalitesinin Artırılması ve Çekim Süresinin Azaltılması Üzerine Deney Tasarımı Uygulaması: Beyin Sekansı Örneği",20162017,1,N14316278,"Murat Caner Testik"
14,"Mitsubishi Dişlisi Üretim Hızını Artırmak için Deney Tasarımı Uygulaması",20162017,1,N14317902,"Murat Caner Testik"
15,"Yalın Altı Sigma ile Zamanında Sevkiyat Performansını Etkileyen Üretim Planlama Sürecinin İyileştirilmesi",20162017,2,N14319892,"Murat Caner Testik"
16,"Kaynak İşlemlerini Etkileyen Faktörler",20162017,2,N14213827,"Murat Caner Testik"
17,"Otomotiv Yetkili Servisinde Marka Bazlı Müşteri Memnuniyetinin İncelenmesi Ve Bu Memnuniyeti Sağlamada Yetkili Servisin Görev Ve Sorumlulukları",20162017,2,N14317067,"Murat Caner Testik"
18,"Bir Bulaşık Makinesi Fabrikasında Nitel Ve Nicel Kontrol Grafiklerini Karşılaştırmalı Olarak Kullanarak Kalitenin Geliştirilmesi Üzerine İstatistiksel Süreç Kontrol Uygulaması",20162017,2,N14119155,"Murat Caner Testik"
19,"Enerji Tüketimi Analizinde Otokorelasyonlu Verilerle İstatistiksel Süreç Kontrolü",20162017,2,N14112977,"Murat Caner Testik"
20,"Emniyet Analiz Yöntemlerinin Genel Bir Füze Sistemine Uygulanması",20162017,2,N15212427,"Murat Caner Testik"
21,"Uçak Parçası Konum Ölçü Değeri Uygunluğu İçin İstatistiksel Süreç Kontrolü Ve Deney Tasarımı",20162017,2,N14312254,"Murat Caner Testik"
22,"AH-1P Helikopteri Yağ Soğutma Fani Titreşimine Etki Eden Faktörlerin Deney Tasarım Metoduyla Araştırılması",20162017,2,N14113210,"Murat Caner Testik"
23,"Havacılık Ve Uzay Sanayindeki Boya Kaplama İşleminde Boya Kalınlığını Etkileyen Proses Parametrelerinin Optimizasyonu",20162017,2,N14313598,"Murat Caner Testik"
24,"Hizmet Sektöründe Saç Kozmetiğinin Kalite Fonksiyon Yayılımı İle İncelenmesi",20162017,2,N14213308,"Murat Caner Testik"
25,"Hata Türü Etkileri Analizi (FMEA)’nde Kullanılan Risk Öncelik Sayısı Hesaplama Yöntemlerinin Karşılaştırılması: Savunma Sanayi Örneği",20162017,2,N14112467,"Murat Caner Testik"
26,"Pnömatik Taşıma Makineleri Üreten Bir Firmada Makinelerin Taşma Kapasitesi Sapmalarının İyileştirilmesi İçin Bölünmüş Parseller Deney Tasarımı",20162017,2,N14112435,"Murat Caner Testik"
27,"Bulaşık Makinesi Kapı Kilit Grubu Açma Kuvveti Optimizasyonu Üzerine Deney Tasarımı Uygulaması",20162017,2,N14112790,"Murat Caner Testik"
28,"Savunma Sanayiinde Güvenlikte Kalite",20162017,2,N14117733,"Murat Caner Testik"
29,"Derin Yağda Kızartılan Kaplamalı Tavuk Örneklerinde HPMC Kullanımının Yağ Alımı Üzerine Etkisi",20162017,2,N14316270,"Arzu Başman"
30,"Sıvı Bulaşık Deterjanı Üretiminde Deney Tasarımı ile İlk Seferde Optimum pH Ayarı",20162017,2,N15217231,"Özlem Müge Testik"
31,"Bilgi Güvenliği Kavramı, ISO27001 Bilgi Güvenliği Yönetim Sistemi ve Standardın Uygulandığı Kuruluşlara Etkisinin Araştırılması",20162017,2,N14313571,"Özlem Müge Testik"
32,"İç Ortam Hava Kalitesini Etkileyen PAH Bileşiklerinin Analizi",20152016,2,N14115443,"Özlem Müge Testik"
33,"Hidropress Form Tezgâhında Üretilen Sac Metal Aluminyum Parçaların Değişkenliklerinin 2^5 Faktöriyel Deney Tasarımı Yöntemiyle Analizi",20152016,2,N14214154,"Özlem Müge Testik"
34,"CEM | 42.5 Tip Çimentonun Basınç Dayanım Standart Sapmasının Azaltılması için Yalın Altı Sigma Uygulaması",20152016,2,N14113663,"Özlem Müge Testik"
35,"ISO 9001 Kalite Yönetim Sistemi Kurulumu",20172018,1,N14311389,"Barbaros Yet"
36,"SERVQUAL Yöntemi İle Bir Havacılık İşletmesinde Emniyet Seviyesinin ve Beklentisinin Ölçülmesi",20172018,1,N15215518,"Özlem Müge Testik"
37,"Klinik Laboratuvarlarda Kalite Kontrol ",20172018,1,N14213092,"Özlem Müge Testik"
38,"Stabil Kontrol Materyalleri Kullanarak Analitik Kalitenin İstatistiksel Kalite Kontrolü",20172018,1,N16117314,"Özlem Müge Testik"
39,"Sosyal Medya Bağlılığının, Birlikte Yaratıma (Co-creation) Etkisinin Araştırılması",20172018,1,N16115796,"Özlem Müge Testik"
40,"Hata Türü Etkileri Analizinde Kullanılan Risk Öncelik Sayısı Hesaplama Yöntemlerinin Karşılaştırılması: Kojenerasyon Sistemi Örneği",20172018,1,N14319257,"Murat Caner Testik"
41,"Un,Yem,Bakliyat Ürünlerinin Paketleme Makinalarının İmalatını Yapan Bir Firmada Makinaların Tartım Hassasiyetinin Hedeften Sapması",20172018,1,N15217936,"Murat Caner Testik"
42,"Robotik MIG Kaynağında Çekme Dayanımını Etkileyen Proses Parametrelerinin Optimizasyonu",20172018,1,N16118675,"Murat Caner Testik"
43,"Güneş Enerji Santrallerinde Olası Risklerin Güvenirlik Metodu Olarak Hata Türü ve Etkileri Analizi (HTEA)",20172018,1,N14316451,"Murat Caner Testik"
44,"Lökosit Filtresi-Trombosit İçin Tıbbi Cihaz Üretim Firmasında Hata Türü Etkileri Analizi (FMEA)",20172018,1,N16114862,"Murat Caner Testik"
45,"Yazılımda Kalite Maliyetlerinin Sınıflandırılması Ve Yazılım Kalite Maliyetleri Ölçümü İçin Sistem Tasarımı",20172018,1,N16114015,"Murat Caner Testik"
46,"Optik Cam İmalatı Kalitesini Artırmaya Yönelik Deney Tasarımı",20172018,1,N15113829,"Murat Caner Testik"
47,"Katodik Koruma Projesinde Saha Çalışması Olarak Gerçekleştirilen Doğru Akım Gerilim Gradyan Tekniği Ölçüm Sisteminin Analizi",20172018,1,N15213667,"Murat Caner Testik"
48,"Plastik Parça Üretiminde Süreç Kontrolü Ve Hata Azaltma",20172018,1,N15212474,"Murat Caner Testik"
49,"Cessna Citation Sovereign Model Hava Aracının LTAC- LTHA (Ankara Esenboğa Havalimanı- İstanbul Atatürk Havalimanı) Uçuş Güzergâhındaki Uçuş Süresi İçin İstatistiksel Kalite Kontrolü",20172018,1,N14211682,"Murat Caner Testik"
50,"Banka Şubesinde İşlem Yapan Müşteri Analizinde Verilerin İstatistiksel Süreç Kontrolü",20172018,1,N15211297,"Murat Caner Testik"
51,"Sirkülasyon Pompalarında Çok Değişkenli Proses Kontrol Grafiklerinin Kullanılması ve Gage R&R Çalışması",20172018,1,N15215540,"Murat Caner Testik"
52,"Rıjıt-Esnek Baskı Devre Kart Üretimi Delgi İşleminde Delik Kalitesini Etkileyen Proses Parametrelerinin Optimizasyonu",20172018,1,N15214528,"Murat Caner Testik"
53,"Elektronik Devrelerde Kullanılan Mikrodenetleyicilerin Seçimine İlişkin Bölünmüş Parseller Deney Tasarımı",20172018,1,N16113283,"Murat Caner Testik"
54,"Kalite Maliyet Sisteminin Tasarımı: Savunma Sanayi Örneği",20172018,1,N15216185,"Murat Caner Testik"
55,"Aluminyum Hava Kanalındaki Sıyrılma Probleminin Giderilmesi Ve Süreçlerin İyileştirilmesindebir Kalite Kontrol Çember Uygulaması",20172018,1,N15218400,"Murat Caner Testik"
56,"Pul Biber Ürününde Zamana Bağlı Artan Mikrobiyolojik Yüklerin Hotelling T2 Yöntemiyle Kontrol Altına Alınması",20172018,1,N15212189,"Murat Caner Testik"
57,"Hizmet Sektöründe FMEA Yöntemi İle Süreç Hatalarının Minimize Edilmesi ve Kalite Fonksiyon Yayılımı Modeli İle Müşteri Memnuniyet Analizi Sistem Belgelendirme Firması Örneği",20172018,1,N15216677,"Murat Caner Testik"
58,"Cam Esaslı Yalıtım Birimi Üretiminde Karşılaşılan Kalite Problemlerinin Hata Türü Etkileri Analizi (HTEA) Yöntemi İle Tespiti Ve İyileştirilmesi",20172018,1,N14211585,"Murat Caner Testik"
59,"Tüberküloz Laboratuvarında Örnek Yönetim Sürecine Yönelik Hata Türü Etkileri Analizi (FMEA)",20172018,1,N15213080,"Murat Caner Testik"
60,"ISO 9001:2015 Standartının Gerekliliklerinin Anlaşılması Ve Uygulamanın Kolaylaştırılmasını Sağlamak Üzere Yorumlanması",20172018,1,N14315528,"Murat Caner Testik"
61,"Otomotiv Sanayinde Kullanılan Şanzıman Hilallerinin Minimum Aşınma Düzeyi İçin Kaplama Faktörlerinin Belirlenmesi Ve Optimizasyonu",20172018,1,N14311666,"Murat Caner Testik"
62,"Sırlama Prosesinde Verimlilik Artışı Ve İşçilik Kazancı Üzerine İstatistiksel Süreç Kontrol Çalışması",20172018,1,N16117240,"Murat Caner Testik"
63,"Savunma Sanayinde Toplam Kalite Maliyet Kavramlarının Analizi",20172018,1,N14315984,"Murat Caner Testik"
64,"Kaju Ürününde Kavrulma Prosesini Etkileyen Parameterelerin Belirlenmesi Ve Üründe Görülen Kararma Oranına Etkisi",20172018,1,N15218476,"Murat Caner Testik"
65,"Malzeme Yüzey Kusurlarının Belirlenmesinde Penetrant Testlerinin Deney Tasarımıyla Optimizasyonu",20172018,1,N16118626,"Murat Caner Testik"
66,"Türkiye’deki Ts En ISO 9001:2008,Ts En ISO 9001:2015 ve Ts En ISO 22000:2005 Belgesine Sahip Kuruluşlarda Belgelendirme Kuruluşları Tarafından Tespit Edilen Uygunsuzluklar Üzerine Araştırma ve Gıda Sektöründe İkinci Taraf Denetimlerin Önemine Yönelik Bir Araştırma",20172018,1,N14319064,"Murat Caner Testik"
67,"Varyans Analizlerinde Harici Olarak İstatistiksel Tablolara Bakmaya Gerek Kalmadan Hipotez Testinin Değerlendirilmesi Ve Paket Program Üzerinde Uygulanması : C Sharp Programlama Dili İle Tek Yönlü Varyans Analizi Ve F İstatistiği",20172018,1,N15214477,"Murat Caner Testik"
68,"Hata Türü ve Etkileri Analizi ve Alternatif Risk Öncelik Sayısı Hesaplama Yöntemlerinin İncelenmesi: Telekomünikasyon Sektörü Uygulaması",20172018,1,N14214057,"Murat Caner Testik"
69,"Hata Türü ve Etkileri Analizi (HTEA) ve Otomotiv Sanayinde Uygulama",20172018,1,N14313085,"Murat Caner Testik"
70,"Bölünmüş Parseller Deney Tasarımı Yöntemi İle Tahribatlı Kompozit Parçaların Camsı Geçiş Sıcaklığı (Tg) Ölçümü",20172018,1,N16111592,"Murat Caner Testik"
71,"Muline Kalibrasyonunun Yapılmasında Ölçümü Etkileyen Faktörlerin Bölünmüş Parseller Deney Tasarımı Kullanarak İncelenmesi",20172018,1,N14315681,"Murat Caner Testik"
72,"Savunma Sanayi Ar-Ge Çalışmasında Polimer Astarlama Uygulaması Deneylerinin Tasarımı ve Optimizasyonu",20172018,1,N16119379,"Murat Caner Testik"
73,"Cessna 172s  (Lycomıng) Hava Araçlarının Periyodik Bakım Sürelerinin Minimize Edilmesi",20172018,1,N16113687,"Murat Caner Testik"
74,"Sertleştirilmiş Aısı 4140 Millerde Taşlama ve Sert Yüzey Tornalama Yapımını Etkileyen Proses Parametrelerinin Optimizasyonu",20172018,1,N16133358,"Murat Caner Testik"
75,"Magnetron Teknolojisi İle Kaplanmış Çift Gümüş İçerikli Camların Temperlenmesinde Ürün Kalitesini Etkileyen Proses Parametrelerinin 25 Faktöriyel Deney Tasarımı Yöntemiyle Analizi",20172018,1,N14118773,"Murat Caner Testik"
