studentid,minorid,graduatedate
20727452,374,04/06/2012
20930187,534,08/07/2014
21030943,374,27/01/2016
21030981,374,28/07/2015
21332412,635,11/06/2018
21383513,635,23/06/2015
21430967,635,07/03/2019
21431064,635,01/09/2020
21431083,374,01/02/2020
21431193,635,05/02/2020
21431265,635,24/06/2019
21531116,344,24/06/2019
21631478,635,NULL
21631761,635,NULL
21731697,534,NULL
21731703,635,NULL
21731736,329,NULL
21731741,635,NULL
21731808,635,NULL
21731813,635,NULL
21831184,373,NULL
21831347,635,NULL
21831591,635,NULL
21948264,635,NULL
21948388,329,NULL
21948393,374,NULL
