id,title,year,semester,studentid,advisor
29,"Yazılım Geliştirme Takımlarının Bulut Üstünden Yazılım Geliştirme Eğilimlerinin İncelenmesi",20152016,2,N14118292,"Murat Caner Testik; Oumout Chouseinoglou"
30,"Talaşlı İmalat Sektöründeki Bir İşletme için Kurumsallaşma Çalışmaları",20152016,2,N13214441,"Murat Caner Testik"
31,"Et Entegre Tesisindeki Makine ve Ekipman Tasarımında Poka-Yoke Yaklaşımı",20152016,2,N14117198,"Murat Caner Testik"
32,"Ekskavatör İmalatı Yapan Bir İşletmede Kalite Fonksiyon Yayılımı ve Kök Neden Analizi Uygulaması",20152016,2,N14119058,"Murat Caner Testik"
33,"3 Boyutlu Yazıcıların Sarf Malzemelerinin Talep Tahmininin Yapılması",20152016,2,N14114165,"Murat Caner Testik"
34,"Toplam Kalite Yönetiminin Belediyelerde Uygulaması",20152016,2,N14111765,"Murat Caner Testik"
35,"Açılması Planlanan İşletmeye Ait Yatırım Maliyet Analizi",20152016,2,N14113961,"Murat Caner Testik"
36,"Havacılık Endüstrisi Parça Üretim Tezgâhında SMED Yaklaşımı",20162017,1,N14215266,"Murat Caner Testik"
37,"Türkiye’deki Biyodizel Üretim Durumunun İncelenmesi ve Biyodizel Kapasite Kriteri",20162017,1,N14210614,"Murat Caner Testik"
38,"Asfalt Plentlerinde Fine-Kinney Metoduyla Risk Analizi Çalışması",20162017,1,N14118330,"Murat Caner Testik"
39,"Otomotiv Sektörü Ağır Ticari Araçlar Talep Tahmini",20162017,1,N14110013,"Murat Caner Testik"
40,"Kalite Fonksiyon Yayılımının E-Ticaret Web Sitesi Geliştirme Süreçlerine Uyarlanması",20162017,2,N14212755,"Murat Caner Testik"
41,"Yazılım Testinin Yazılım Geliştirme Projeleri Üzerindeki Etkisi",20162017,2,N14316944,"Murat Caner Testik"
42,"FMEA – Otobüs İskeleti Tasarım FMEA Uygulaması",20162017,2,N14219929,"Murat Caner Testik"
43,"Dijital Kabin Yönetim Sistemi Mobil Uygulaması için Yalın Üretim Prensipleri",20162017,2,N14111447,"Murat Caner Testik"
44,"Sağlık Endüstrisinde Yalın Düşünce",20162017,2,N14110065,"Murat Caner Testik"
