id,position
1,Engineer
3,"Project Assistant"
4,Intern
5,"Research Assistant"
6,"Project Development Specialist"
7,"Procurement Assistant Specialist"
8,"Quality Responsible"
9,"Logistics Department Manager"
10,"Purchasing Engineer"
11,Auditor
12,"SAP Project Engineer"
13,Assessor
14,"Budget Planning Engineer"
15,"Assistant Specialist"
16,"Method Engineer"
17,"Production & Planning Engineer"
18,"Project Consultant"
19,"Team Member"
20,"Business Analyst"
21,"Product &  Process Development Specialist"
22,Specialist
23,"Analytical CRM Specialist"
24,"Planning Engineer"
25,"Resource Planning & Reporting Specialist"
26,"Management Trainee"
27,"Process Management & Customer Operations Business Relations Specialist"
28,Analyst
29,Manager
30,"Sales Support Responsible"
31,"System Administrator"
32,"SAP Consultant"
33,"Senior Business Analyst"
34,"Demand Planning Specialist"
35,"WCM Customer Service & Logistics Lead"
36,"PEP Trainee"
37,"Credit Project Management-Change Management Intern"
38,"Radio Programmer/Coordinator"
40,"Prova Plus Trainee"
41,"Mechanical Engineer"
42,"Management Systems Specialist"
43,"Long-Term Intern"
45,"Quality & Corporate Development Manager"
46,"Program Assistant"
47,"Project Engineer"
48,"Procurement Specialist"
49,"Business Development & Planning Specialist"
50,"Software Developer"
51,"FTL Operations"
52,"Assistant Trade Marketing Specialist"
53,"Health & Safety Engineer"
54,"Research & Development Engineer"
55,"Design Engineer"
56,"Assistant Business Development Specialist"
57,"Quality Systems Engineer"
58,"Part-time Trainee"
59,"Quality Assurance Engineer"
60,"Scheduling & Estimating Engineer"
61,"Engineering Intern"
62,"Business Development & Quality Manager"
63,"IT Intern"
64,"Management Systems Engineer"
65,"SAP Industrial Process Development Asst. Specialist"
66,"Enterprise Risk Management Specialist"
67,Editor
68,"Human Resources Intern"
69,"Software Architect"
70,"Software Analyst"
72,"IT Specialist"
73,"Production & Material Planning Engineer"
74,"Operations & Deployment Engineer"
75,"Contract Manager"
76,"Financial Controller"
77,"IT Advisory Analyst"
78,"Business Planning Specialist"
79,"Sales Intern"
80,"Logistics Process Development Assistant Specialist"
81,"Retail Supplier"
82,"Logistics Shift Engineer"
83,"Occupational Safety Specialist"
84,"Project Financial Controller"
85,"Deputy Manager in Human Resources"
86,"Quality Control Engineer"
87,"SAP Business Processes Engineer"
88,"Evaluate & Planning Manager"
89,"Store Department Manager"
90,"HOPE Project Participant"
91,"Assistant CS Operations Manager, ME"
92,"Company Official"
94,"Production & Control Engineer"
95,"Sales & Logistics Operations Engineer"
96,"Assistant Supply Planning Executive"
97,"Process Development Assistant"
99,"Product Specialist"
100,"ERP Project Engineer"
101,"Assistant Merchandiser"
102,"Production Trainee"
103,"Business Planning & Process Management Trainee"
104,"Long-Term Project Intern"
105,"Foreign Trade Assistant Specialist"
107,"Production & Customer Order Planner"
108,"Production & Customer Order Planning Engineer"
109,"Supply Chain Trainee"
111,"Production Planning & Control Specialist"
112,"CRM Specialist"
113,"Assistant Auditor"
114,"Project Management Specialist"
116,"Logistics Assistant Specialist"
117,"Truck Operating System & Kaizen Coordinator"
118,"Sales Order Administrator"
119,"Root Cause Analysis - Assistant Specialist"
120,"Project Intern"
121,"Senior Manager"
122,"Global Corporate Account Manager"
123,"Marketing & Management Intern"
124,"Production & Planning Intern"
125,"Digital Marketing Intern"
126,"Investment Planning Engineer"
128,"Continuous Improvement Intern"
130,"Technical Purchasing Specialist"
131,"Operational Excellence Specialist"
132,"Planning Trainee"
134,Salesman
135,"Engineering Changes & Bill of Material Management Intern"
136,"Patent/Trademark Attorney"
137,"Quality Management Specialist"
138,"Quality Control Responsible"
139,"Fermentation Unit Supervisor"
140,"System Design Engineer"
141,"Production Intern"
142,"Internal Logistics & Warehouses Assistant"
143,"Content & Process Management"
144,"Project Manager"
145,"Mechanical Maintenance Engineer"
146,"Industrial Performance Intern"
147,"Production Manager Assistant"
148,"Authorized Service Professional"
149,"Method Engineering Intern"
150,Expeditor
151,"Senior System Test Specialist"
152,"Software Test Specialist"
153,"Part-Time Test Engineer"
154,"Finishing Works Engineer"
155,"Business Development & Quality Specialist"
157,"Fermantation Superintendent"
158,"Administrative Manager"
159,"Solution Architect"
160,"Senior Quality Assurance Engineer"
161,"Planning Specialist"
162,"Furnace & Batch Engineer"
163,"Quality & Laboratory Manager"
164,"MRO & Air Taxi Operator"
165,"Construction & Commissioning Manager"
166,"Multimedia Designer"
167,"Production Engineer"
168,"Technical Manager"
169,"Control Engineer"
170,"Quality Team Leader"
171,"Food Engineer"
172,"Team Lead"
173,"Software Engineer"
174,"QA/QC Manager"
175,"Planning & Optimization Engineer"
176,"Field Planning & Optimization Engineer"
178,"Test Engineer"
179,"Test Team Leader"
180,"Manufacturing & Test Manager"
181,"Project Planning Engineer"
182,"SAMSUNG CT"
183,"Project Planning & Control"
184,"ERP Consultant"
186,"Site Engineer"
187,"Senior Architect"
188,"Welding Engineer"
189,"Candidate Pilot"
190,"Construction Superintendent"
191,"Civil Engineer"
192,"Junior Business Analyst"
193,"Purchasing Intern"
194,"Business Intelligence & Datawarehouse Consultant"
195,"Management Representative"
196,"Sub-Industry Coordinator"
197,"Process Engineer"
198,"Business Development Specialist"
199,"R&D Planning Engineer"
200,"Supply Chain Specialist"
201,"Software Support Specialist"
202,"R&D Documentation Engineer"
203,"Energy Trading Expert"
204,Trainee
205,"Research & Development Expert"
206,"Sales Technical Engineer"
207,"Purchasing Assistant Specialist"
208,"Functional Consultant"
209,"Sales Planning Engineer"
210,"Subcontract Administrator"
211,AveaMaster
212,"Enterprise Network Operations Assistant Specialist"
213,"Student Counselor"
214,Consultant
215,Co-founder
216,"Tour Guide"
217,Merchandiser
218,"Logistics Engineer"
219,"Application Engineer"
220,"Head of Safety & Management Systems"
221,"Sales Engineer"
222,"Overseas Sales"
223,"General Coordinator"
224,"Foreign Trade Manager"
225,"Chief Executive Officer"
226,"Cost Controller"
227,"Supply & Logistics Coordinator"
228,"Student Assistant"
229,"SME Banking Strategic Planning Associate"
230,"SME Micro Marketing Product Management Supervisor"
231,"Purchasing Executive"
232,"System & Process Development Specialist"
233,"Method Specialist"
234,"AFLS Project Coordinator"
235,"Assistant Demand Planning Executive"
236,"Passenger Service Developer"
237,"Commercial Planning & Reporting Analyst"
238,"Cost & Improvement Engineer"
239,"Quality Chief Engineer"
240,"Purchasing Specialist"
241,Reporter
242,Researcher
243,"Market Research Assistant"
244,"Operational Excellence Manager"
245,"Computer Engineer"
246,"Defense Industry Specialist"
247,"Lean Manufacturing Specialist"
248,"ERP Specialist"
249,"Proposals & Contracts Specialist"
250,"Junior ICS Engineer"
251,"Factory Financial Controller"
252,"Sales Financial Controller"
253,"Material Planning & Control Engineer"
254,"Maintenance Engineer"
255,"Business Process Management Assistant Specialist"
256,"Project Management Engineer"
257,"Manufacturing Systems Engineer"
258,"Production Management System Engineer"
259,"Material Planning Engineer"
260,"Lead Auditor"
261,"Industrial Relations & Human Resources Assistant"
262,"Product Marketing Manager"
263,"Customer Service Manager"
264,"Marketing Assistant Specialist"
265,"Trade Marketing Assistant Specialist"
266,"R&D Intern"
267,"Quality Control Intern"
268,"Vehicle Production Planning & Control Engineer"
269,"PhD Candidate"
271,"Progressive Engineer"
272,"Contract Engineer"
273,"Process Quality Engineer"
274,"Industrial Engineer"
275,"Vehicle Validation Engineer"
276,"IT Auditor"
277,"Procurement Engineer"
278,"Human Resources Specialist"
279,"Production Manager"
280,Boss
281,"PQA Engineer"
282,"Civil Engineering"
283,"International Order Management Associate"
284,"Laboratory Specialist"
285,"Optic Design Engineer"
286,"Product Audit Engineer"
287,Architect
289,"Data Verification Specialist"
291,"Process Development Specialist"
292,"Manufacturing Process Manager"
293,"Energy Department Manager"
294,"Senior Software Development Consultant"
295,"Department Manager"
296,"Demand Planning Executive"
297,"Supply Planning Specialist"
298,"Quality Manager"
299,"Project Management Office Executive"
300,"Business Development Engineer"
301,"ICS Engineer"
302,Housekeeper
303,Housekeeper
304,"Chief / Enterprise Resoruce Management"
305,"Assembly Technical Support Engineer"
306,"Business Development Analyst"
307,"Portfolio Management Specialist"
308,"Part-Time Production Planning Engineer"
309,"Management Controller"
310,"Assistant Manager of Process Improvement"
311,"Product Marketing Specialist"
312,"Product Associate Manager"
313,"Marketing Associate Manager"
314,"Marketing Manager"
315,"Supply Chain Team Leader"
316,"Business Process Management Specialist"
317,"Delivery Management"
318,"Delivery Management Engineer"
319,"Part - Time Quality Management Engineer"
320,"Part-Time Quality Management Engineer"
321,"Procurement Intern"
