id,department,level,icon,tier,tiertext,description
2,"EMÜ BSc",graduate,emu,1,BSc,"Industrial Engineering"
3,"EMÜ BSc",student,emu,1,BSc,"Industrial Engineering"
4,"EMÜ MSc",graduate,emu,2,MSc,"Industrial Engineering (with Thesis)"
5,"EMÜ MSc",student,emu,2,MSc,"Industrial Engineering (with Thesis)"
6,"MÜY MSc",graduate,muy,2,MSc,"Engineering Management"
7,"MÜY MSc",student,muy,2,MSc,"Engineering Management"
8,"KUDEM MSc",graduate,kudem,2,MSc,"Quality and Conformity Assessment Engineering"
9,"KUDEM MSc",student,kudem,2,MSc,"Quality and Conformity Assessment Engineering"
10,"EMÜ PhD",graduate,emu,3,PhD,"Industrial Engineering"
11,"EMÜ PhD",student,emu,3,PhD,"Industrial Engineering"
12,"EMÜ BSc",left,emu,1,BSc,"Industrial Engineering-left"
13,"EMÜ MSc",left,emu,2,MSc,"Industrial Engineering (with Thesis)-left"
14,"MÜY MSc",left,muy,2,MSc,"Engineering Management-left"
15,"KUDEM MSc",left,kudem,2,MSc,"Quality and Conformity Assessment Engineering-left"
16,"EMÜ PhD",left,emu,3,PhD,"Industrial Engineering-left"
