id,username,city,country,highschool,nationality,gender
20727414,20727414,Samsun,Turkey,18,TUR,M
20727428,20727428,İstanbul,Turkey,358,TUR,F
20727433,20727433,İzmir,Turkey,165,TUR,M
20727447,20727447,Ankara,Turkey,51,TUR,F
20727452,20727452,Ankara,Turkey,5,TUR,F
20727466,20727466,NULL,NULL,NULL,TUR,M
20727471,20727471,Ankara,,22,TUR,M
20727485,20727485,Ankara,Turkey,100,TUR,F
20727499,20727499,Ankara,Turkey,18,TUR,M
20727505,20727505,Ankara,Turkey,128,TUR,F
20727519,20727519,İzmir,Turkey,0,TUR,F
20727524,20727524,Manisa,Turkey,113,TUR,M
20727538,20727538,İstanbul,Turkey,288,TUR,F
20727543,20727543,Ankara,Turkey,9,TUR,F
20727557,20727557,Bursa,Turkey,204,TUR,M
20727562,20727562,,,0,TUR,M
20727576,20727576,Ankara,Turkey,36,TUR,M
20727581,20727581,NULL,NULL,NULL,TUR,M
20727595,20727595,Bursa,Turkey,14,TUR,F
20727601,20727601,,,184,TUR,M
20727615,20727615,,,0,TUR,F
20727629,20727629,İzmir,Turkey,0,TUR,F
20727634,20727634,NULL,NULL,NULL,TUR,M
20727648,20727648,Ankara,Turkey,5,TUR,M
20727653,20727653,Ankara,Turkey,3,TUR,F
20727667,20727667,,Turkey,0,TUR,M
20727672,20727672,Istanbul,Turkey,29,TUR,F
20727686,20727686,Vienna,Austria,286,TUR,F
20727691,20727691,Ankara,Turkey,0,TUR,F
20727706,20727706,Ankara,Turkey,0,TUR,M
20727711,20727711,İstanbul,Turkey,30,TUR,F
20800918,20800918,Solothurn,Switzerland,33,CHE,M
20829291,20829291,NULL,NULL,NULL,TUR,F
20829306,20829306,,,0,TUR,F
20829311,20829311,,,0,TUR,M
20829325,20829325,,,0,TUR,F
20829339,20829339,İstanbul,Turkey,303,TUR,M
20829344,20829344,,,0,TUR,F
20829358,20829358,Ankara,Turkey,5,TUR,M
20829363,20829363,Ankara,Turkey,13,TUR,M
20829377,20829377,Ankara,Turkey,206,TUR,M
20829382,20829382,Balıkesir,Turkey,280,TUR,M
20829396,20829396,Ankara,Turkey,27,TUR,F
20829402,20829402,NULL,NULL,NULL,TUR,F
20829416,20829416,NULL,NULL,NULL,TUR,M
20829421,20829421,Ankara,Turkey,8,TUR,M
20829435,20829435,İstanbul,Turkey,152,TUR,F
20829449,20829449,NULL,NULL,NULL,TUR,F
20829454,20829454,İstanbul,Turkey,7,TUR,F
20829468,20829468,Dubai,United Arab Emirates,0,TUR,F
20829473,20829473,Bursa,Turkey,15,TUR,F
20829487,20829487,İstanbul,Turkey,3,TUR,F
20829492,20829492,Ankara,Turkey,160,TUR,M
20829507,20829507,Ankara,Turkey,100,TUR,M
20829512,20829512,İstanbul,Turkey,287,TUR,M
20829526,20829526,Ankara,Turkey,0,TUR,M
20829531,20829531,,,6,TUR,M
20829545,20829545,İstanbul,Turkey,26,TUR,M
20829559,20829559,Ankara,Turkey,162,TUR,M
20829564,20829564,İstanbul,Turkey,52,TUR,F
20829578,20829578,İstanbul,Turkey,24,TUR,M
20829583,20829583,İstanbul,Turkey,0,TUR,F
20829597,20829597,,,0,TUR,M
20829603,20829603,Ankara,Turkey,123,TUR,F
20829617,20829617,Kırklareli,Turkey,20,TUR,M
20829622,20829622,Ankara,Turkey,65,TUR,M
20829636,20829636,,,0,TUR,M
20829641,20829641,Antalya,Turkey,290,TUR,F
